cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
strategyxsymbol=burst_follow|TAOUSDT,135,52.6,0.0089,1.13,1.2,44,0.72,1.0,64,0.019,70,-0.001,0.09,9,44.4,
strategyxregimexbreadth=nony_momentum|neutral|2-3,135,52.6,-0.0088,0.9,-1.2,23,inf,inf,72,-0.046,63,0.034,0.11,89,56.2,
strategyxweekday=setup_follow|6,753,52.6,0.0113,1.18,8.5,9,0.59,0.15,269,-0.015,484,0.026,0.12,360,54.2,
strategyxweekdayxregime=burst_follow|4|neutral,483,52.6,-0.0006,0.99,-0.3,6,inf,inf,372,0.001,111,-0.006,0.06,172,51.2,
strategyxregimexdecile_band=follow_3h_all|bear|D2-3,97,52.6,0.0262,1.22,2.5,7,1.28,0.6,97,0.026,0,,0.0,0,,
adxxside=<20|SHORT,738,52.6,0.0219,1.19,16.2,11,1.13,0.58,362,0.07,376,-0.024,0.11,441,50.8,
spreadxvolz=<2|>=5,1554,52.6,0.0054,1.04,8.4,48,0.75,0.83,525,-0.004,1029,0.01,0.12,596,53.2,
strategyxweekdayxhour_band=burst_follow|2|6-11,272,52.6,0.0024,1.04,0.6,8,2.42,1.98,173,-0.01,99,0.023,0.06,83,55.4,
adxxsymbol=20-30|BNBUSDT,350,52.6,-0.0135,0.9,-4.7,35,inf,inf,199,0.005,151,-0.038,0.12,147,51.7,
strategyxsymbol=setup_fade|1000LUNCUSDT,175,52.6,0.0009,1.0,0.2,56,17.7,1.0,86,-0.022,87,0.019,0.12,79,55.7,
cascxmktb=Y|30-60,1577,52.6,-0.0018,0.98,-2.8,4,inf,inf,0,,1577,-0.002,0.07,724,51.7,
mktbxsymbol=<30|AAVEUSDT,78,52.6,0.0213,1.17,1.7,7,0.76,1.0,0,,78,0.021,0.13,22,40.9,
oidxsymbol=mid|AAVEUSDT,78,52.6,0.0192,1.16,1.5,10,0.71,1.0,0,,78,0.019,0.14,27,44.4,
strategyxvolz=ny_flush_buy_4h|<2,468,52.6,0.0251,1.18,11.8,47,0.46,0.5,195,0.055,273,0.004,0.0,124,51.6,
strategyxweekdayxhour_band=burst_follow|3|12-17,371,52.6,0.005,1.08,1.9,7,0.71,1.44,175,0.013,196,-0.002,0.08,109,48.6,
hour_bandxweekday=12-17|1,1231,52.6,0.0181,1.18,22.2,9,0.62,0.18,532,0.038,501,0.004,0.08,346,52.9,
vsxweekday=Y|4,215,52.6,0.0462,1.48,9.9,9,0.68,0.33,125,0.015,90,0.089,0.09,99,56.6,
hour_bandxweekday=0-5|0,1233,52.6,-0.0084,0.93,-10.4,9,inf,inf,584,0.011,649,-0.026,0.08,397,52.6,
atrpxweekday=NA|3,470,52.6,0.0161,1.14,7.6,2,0.94,0.49,459,0.016,11,0.038,0.11,11,54.5,
volzxweekday=NA|3,470,52.6,0.0161,1.14,7.6,2,0.94,0.49,459,0.016,11,0.038,0.11,11,54.5,
cascxoid=Y|<-0.5,999,52.6,-0.0057,0.94,-5.7,20,inf,inf,9,0.001,990,-0.006,0.05,457,51.4,
fundxside=pos|LONG,4976,52.6,0.0171,1.18,85.2,62,0.32,0.15,1398,0.004,3578,0.022,0.09,2025,52.7,Y
imbxsymbol=<0.5|AAVEUSDT,59,52.5,0.0244,1.22,1.4,10,1.33,1.0,0,,59,0.024,0.08,24,50.0,
sym_statexsymbol=neutral|BCHUSDT,59,52.5,-0.0203,0.82,-1.2,6,inf,inf,0,,59,-0.02,0.07,21,52.4,
symbolxweekend=BNBUSDT|False,689,52.5,-0.0028,0.98,-1.9,43,inf,inf,347,0.011,331,-0.016,0.1,199,51.3,
sym_statexsymbol=neutral|ZECUSDT,512,52.5,-0.0081,0.93,-4.1,29,inf,inf,204,-0.008,308,-0.008,0.07,260,52.3,
breadthxsymbol=>=4|BNBUSDT,394,52.5,-0.0164,0.87,-6.5,32,inf,inf,107,0.013,287,-0.027,0.1,92,51.1,
adxxsymbol=20-30|SOLUSDT,889,52.5,-0.0077,0.93,-6.8,39,inf,inf,501,0.001,388,-0.019,0.11,451,53.2,
strategyxregimexbreadth=setup_follow|neutral|2-3,415,52.5,0.0273,1.51,11.3,26,0.27,0.16,204,0.017,211,0.037,0.14,248,48.0,Y
regime=NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktb=NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
conc=NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
adxxconc=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
adxxmktb=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
adxxregime=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
atrpxconc=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
atrpxmktb=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
atrpxregime=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
breadthxconc=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
breadthxmktb=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
breadthxregime=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
cascxconc=N|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
cascxmktb=N|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
cascxregime=N|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxfund=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxmktb=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxoid=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxregime=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxsession=NA|None,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxspread=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxsym_state=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxvolz=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
concxweekend=NA|False,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
fundxmktb=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
fundxregime=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
fundxsymbol=pos|PENDLEUSDT,257,52.5,-0.0079,0.94,-2.0,44,inf,inf,101,-0.009,156,-0.007,0.09,107,52.3,
mktbxoid=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktbxregime=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktbxsession=NA|None,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktbxspread=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktbxsym_state=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktbxvolz=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktbxweekend=NA|False,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
oidxregime=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
regimexsession=NA|None,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
regimexspread=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
regimexsym_state=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
regimexvolz=NA|NA,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
regimexweekend=NA|False,771,52.5,0.0289,1.26,22.3,7,0.45,0.28,425,0.037,51,0.056,0.13,69,60.9,
mktbxsymbol=<30|HYPEUSDT,198,52.5,-0.013,0.86,-2.6,7,inf,inf,0,,198,-0.013,0.05,84,52.4,
strategyxweekdayxregime=setup_follow|0|bear,198,52.5,-0.006,0.93,-1.2,3,inf,inf,76,-0.048,122,0.02,0.15,87,52.9,
sym_statexweekday=bull|0,1150,52.5,-0.0134,0.88,-15.4,7,inf,inf,116,-0.021,1034,-0.013,0.07,574,52.6,
atrpxoid=hi|<-0.5,2578,52.5,-0.0032,0.96,-8.3,48,inf,inf,398,-0.003,2180,-0.003,0.06,938,52.7,
mktbxsym_state=30-60|bull,2500,52.5,0.0008,1.01,2.1,4,2.62,1.3,0,,2500,0.001,0.06,1055,51.1,
adxxstrategy=NA|ny_flush_buy_4h,139,52.5,0.0264,1.21,3.7,12,0.73,0.5,125,0.038,14,-0.073,0.0,25,52.0,
breadthxstrategy=NA|ny_flush_buy_4h,139,52.5,0.0264,1.21,3.7,12,0.73,0.5,125,0.038,14,-0.073,0.0,25,52.0,
decile_bandxsymbol=D10|BNBUSDT,139,52.5,-0.015,0.9,-2.1,38,inf,inf,81,-0.004,58,-0.031,0.12,29,55.2,
oidxstrategy=NA|ny_flush_buy_4h,139,52.5,0.0264,1.21,3.7,12,0.73,0.5,125,0.038,14,-0.073,0.0,25,52.0,
spreadxstrategy=NA|ny_flush_buy_4h,139,52.5,0.0264,1.21,3.7,12,0.73,0.5,125,0.038,14,-0.073,0.0,25,52.0,
strategyxsym_state=ny_flush_buy_4h|NA,139,52.5,0.0264,1.21,3.7,12,0.73,0.5,125,0.038,14,-0.073,0.0,25,52.0,
regimexweekday=bull|6,1093,52.5,0.0084,1.09,9.2,1,1.0,0.23,0,,1093,0.008,0.08,448,50.4,
strategyxsym_state=late_fade|neutral,318,52.5,0.026,1.53,8.3,30,0.82,0.11,139,0.029,179,0.023,0.22,106,44.3,
adxxsymbol=>=30|FILUSDT,179,52.5,-0.0101,0.92,-1.8,12,inf,inf,0,,179,-0.01,0.09,61,47.5,
strategyxsidexregime=london_burst_fade|SHORT|neutral,438,52.5,0.0352,1.21,15.4,29,0.54,0.25,347,0.054,91,-0.038,0.16,161,47.2,
symbolxvs=1000LUNCUSDT|N,339,52.5,0.0042,1.04,1.4,58,0.76,1.0,163,-0.015,174,0.021,0.09,138,50.7,
imbxvolz=>=0.5|>=5,2076,52.5,0.0076,1.07,15.7,56,0.35,0.29,1016,0.007,1060,0.008,0.08,595,52.1,Y
breadthxweekend=>=4|True,2756,52.5,-0.0024,0.98,-6.5,12,inf,inf,109,0.022,2647,-0.003,0.09,1015,51.1,
breadthxhour_band=>=4|12-17,2838,52.5,0.0021,1.02,6.1,35,0.86,1.25,858,0.017,1980,-0.004,0.09,938,51.1,
oidxsymbol=>0.5|DOTUSDT,80,52.5,0.0179,1.16,1.4,21,0.57,1.0,38,0.029,42,0.008,0.1,37,48.6,
strategyxsymbol=setup_fade|ENAUSDT,200,52.5,0.0392,1.25,7.8,53,0.36,1.0,117,0.058,83,0.013,0.11,70,50.0,Y
symbolxvs=AVAXUSDT|N,120,52.5,-0.0403,0.72,-4.8,10,inf,inf,0,,120,-0.04,0.11,36,47.2,
symbolxweekend=PUMPUSDT|False,160,52.5,0.0067,1.07,1.1,6,1.07,1.0,0,,160,0.007,0.08,64,54.7,
strategyxdecile_bandximb=burst_follow|D2-3|<0.5,2640,52.5,-0.0026,0.96,-6.8,56,inf,inf,1165,0.007,1460,-0.011,0.07,960,50.8,
fundxstrategy=flat|ny_flush_buy_4h,341,52.5,-0.0053,0.97,-1.8,46,inf,inf,149,0.041,192,-0.041,0.0,65,46.2,
atrpxstrategy=NA|burst_follow,903,52.5,0.0051,1.08,4.6,7,0.9,0.29,820,0.007,0,,0.08,0,,
strategyxvolz=burst_follow|NA,903,52.5,0.0051,1.08,4.6,7,0.9,0.29,820,0.007,0,,0.08,0,,
atrpxsymbol=hi|XRPUSDT,503,52.5,0.0108,1.11,5.4,16,0.38,1.0,7,-0.052,496,0.012,0.07,256,56.2,
sym_statexsymbol=bull|DASHUSDT,101,52.5,0.0047,1.04,0.5,7,1.96,1.0,0,,101,0.005,0.07,34,55.9,
oidxsymbol=mid|SOLUSDT,1054,52.5,-0.007,0.94,-7.3,49,inf,inf,448,-0.007,606,-0.007,0.11,560,51.1,
sidexsymbol=SHORT|RUNEUSDT,183,52.5,0.0041,1.03,0.8,51,3.23,1.0,97,0.017,85,-0.019,0.1,85,51.8,
strategyxsymbol=setup_fade|TAOUSDT,183,52.5,0.0235,1.15,4.3,58,0.58,1.0,78,0.037,104,0.02,0.09,99,55.6,
strategyxweekdayxhour_band=asia_burst_fade|3|6-11,61,52.5,0.0834,1.54,5.1,6,1.1,0.49,42,0.066,19,0.123,0.23,17,58.8,
symbolxvs=BNBUSDT|N,875,52.5,-0.0102,0.92,-8.9,59,inf,inf,445,-0.002,419,-0.019,0.09,237,51.9,
cascxweekday=Y|1,408,52.5,-0.0065,0.94,-2.7,6,inf,inf,22,-0.052,386,-0.004,0.06,199,51.8,
mktbxside=>=60|SHORT,204,52.5,0.0328,1.43,6.7,2,0.76,0.16,0,,204,0.033,0.09,86,59.3,
oidxspread=<-0.5|<2,2881,52.4,-0.0072,0.93,-20.7,49,inf,inf,732,-0.007,2149,-0.007,0.08,1198,52.4,
adxxsymbol=>=30|UNIUSDT,164,52.4,-0.0023,0.98,-0.4,12,inf,inf,14,0.065,150,-0.009,0.09,63,50.8,
hour_bandxsymbol=6-11|HYPEUSDT,82,52.4,-0.0237,0.8,-1.9,7,inf,inf,0,,82,-0.024,0.07,32,46.9,
strategyxsymbol=setup_follow|XLMUSDT,164,52.4,0.0162,1.25,2.7,58,0.29,1.0,75,0.013,89,0.019,0.16,76,51.3,Y
sidexsymbol=SHORT|SOLUSDT,1108,52.4,-0.006,0.95,-6.6,63,inf,inf,583,0.021,509,-0.038,0.09,418,49.8,
adxxsymbol=>=30|HYPEUSDT,267,52.4,0.004,1.04,1.1,8,1.13,1.0,0,,267,0.004,0.06,100,49.0,
sym_statexsymbol=bull|HYPEUSDT,267,52.4,0.004,1.04,1.1,8,1.13,1.0,0,,267,0.004,0.06,100,49.0,
sym_statexsymbol=neutral|BNBUSDT,370,52.4,-0.0103,0.92,-3.8,34,inf,inf,217,0.006,153,-0.033,0.11,153,51.6,
hour_bandxsymbol=0-5|WLDUSDT,391,52.4,0.0069,1.06,2.7,50,0.48,1.0,227,-0.008,164,0.028,0.09,150,51.3,
oidxsymbol=<-0.5|HYPEUSDT,103,52.4,0.0042,1.05,0.4,9,1.84,1.0,0,,103,0.004,0.06,36,47.2,
strategyxregimexdecile_band=setup_follow|bull|D10,103,52.4,0.0095,1.13,1.0,18,1.22,0.95,27,-0.02,76,0.02,0.17,40,42.5,
regimexsym_state=bear|bear,826,52.4,0.0022,1.02,1.8,14,1.56,1.15,294,-0.007,532,0.007,0.11,555,51.2,
strategyxsym_state=nony_momentum|bear,124,52.4,-0.0047,0.93,-0.6,23,inf,inf,67,0.002,57,-0.013,0.04,71,53.5,
decile_bandxmktb=D2-3|30-60,1881,52.4,-0.0076,0.92,-14.2,4,inf,inf,0,,1881,-0.008,0.06,848,50.9,
fund=NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
adxxfund=NA|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
atrpxfund=NA|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
breadthxfund=NA|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
cascxfund=N|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
fundxoid=NA|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
fundxsession=NA|None,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
fundxspread=NA|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
fundxsym_state=NA|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
fundxvolz=NA|NA,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
fundxweekend=NA|False,786,52.4,0.0285,1.25,22.4,7,0.45,0.27,440,0.036,51,0.056,0.13,69,60.9,
concxsymbol=2-3|XLMUSDT,269,52.4,-0.0168,0.87,-4.5,38,inf,inf,62,-0.03,207,-0.013,0.12,84,51.2,
strategyxsymbol=burst_follow|UNIUSDT,145,52.4,-0.008,0.9,-1.2,42,inf,inf,62,0.013,82,-0.027,0.08,37,51.4,
strategyxweekdayxhour_band=burst_follow|0|12-17,435,52.4,0.0026,1.04,1.1,7,3.68,0.99,253,-0.014,182,0.025,0.08,108,54.6,
fundxstrategy=pos|burst_follow,2618,52.4,-0.0026,0.96,-6.8,54,inf,inf,607,0.006,2011,-0.005,0.06,930,51.0,
adxxdecile_band=NA|D10,1103,52.4,0.0173,1.14,19.1,20,0.5,0.28,1075,0.015,17,0.133,0.13,25,68.0,
breadthxdecile_band=NA|D10,1103,52.4,0.0173,1.14,19.1,20,0.5,0.28,1075,0.015,17,0.133,0.13,25,68.0,
decile_bandxspread=D10|NA,1103,52.4,0.0173,1.14,19.1,20,0.5,0.28,1075,0.015,17,0.133,0.13,25,68.0,
decile_bandxsym_state=D10|NA,1103,52.4,0.0173,1.14,19.1,20,0.5,0.28,1075,0.015,17,0.133,0.13,25,68.0,
imbxsymbol=>=0.5|ETHUSDT,2019,52.4,0.0071,1.07,14.4,63,0.24,1.0,1136,0.002,845,0.014,0.08,831,53.1,Y
adxxweekday=<20|4,271,52.4,0.0424,1.57,11.5,2,0.66,0.2,181,0.022,90,0.084,0.08,154,50.6,
concxhour_band=NA|12-17,313,52.4,0.0383,1.39,12.0,6,0.87,0.21,110,0.103,5,0.114,0.09,14,71.4,
hour_bandxmktb=12-17|NA,313,52.4,0.0383,1.39,12.0,6,0.87,0.21,110,0.103,5,0.114,0.09,14,71.4,
hour_bandxregime=12-17|NA,313,52.4,0.0383,1.39,12.0,6,0.87,0.21,110,0.103,5,0.114,0.09,14,71.4,
decile_bandxoid=D10|NA,1109,52.4,0.0172,1.14,19.1,22,0.5,0.28,1077,0.015,21,0.101,0.13,26,69.2,
cascxsymbol=Y|APTUSDT,42,52.4,-0.0191,0.85,-0.8,5,inf,inf,0,,42,-0.019,0.12,17,58.8,
decile_bandxmktb=D10|>=60,42,52.4,0.0038,1.08,0.2,2,2.34,1.3,0,,42,0.004,0.02,13,30.8,
hour_bandxsymbol=6-11|PENGUUSDT,42,52.4,0.001,1.01,0.0,7,8.65,1.0,0,,42,0.001,0.17,12,41.7,
imbxsymbol=<0.5|1000LUNCUSDT,84,52.4,-0.0119,0.92,-1.0,18,inf,inf,27,0.006,57,-0.021,0.18,53,49.1,
oidxsymbol=<-0.5|FILUSDT,126,52.4,-0.0631,0.56,-8.0,30,inf,inf,38,-0.085,88,-0.054,0.08,42,50.0,
symbolxvolz=1000PEPEUSDT|2-5,315,52.4,0.0194,1.18,6.1,48,0.5,1.0,171,0.034,144,0.002,0.1,118,52.5,
symbolxvs=ENAUSDT|Y,63,52.4,0.0232,1.28,1.5,20,0.31,1.0,43,0.038,20,-0.008,0.06,12,50.0,
strategyxweekdayxhour_band=ny_flush_buy_4h|0|18-23,42,52.4,-0.0165,0.91,-0.7,7,inf,inf,28,-0.005,14,-0.04,0.0,11,36.4,
strategyxweekdayxregime=asia_burst_fade|4|bear,42,52.4,0.0233,1.17,1.0,1,1.0,1.41,42,0.023,0,,0.07,0,,
hour_bandximb=12-17|>=0.5,4836,52.4,0.005,1.05,24.1,61,0.66,0.39,2284,0.013,2386,-0.002,0.09,1731,51.5,
breadthxvolz=>=4|>=5,1388,52.4,0.0072,1.06,10.0,38,0.86,0.36,434,-0.0,954,0.011,0.11,310,52.9,
concxweekday=2-3|6,2020,52.4,-0.0118,0.89,-23.9,7,inf,inf,61,-0.003,1959,-0.012,0.09,695,52.7,
regimexside=bear|LONG,2996,52.4,0.019,1.2,57.0,21,0.31,0.25,1978,0.021,1018,0.015,0.11,945,52.2,Y
concxoid=2-3|<-0.5,2872,52.4,-0.0109,0.89,-31.3,40,inf,inf,454,-0.015,2418,-0.01,0.07,884,52.4,
strategyxregimexbreadth=burst_follow|bear|2-3,191,52.4,-0.0031,0.96,-0.6,11,inf,inf,78,-0.031,113,0.016,0.08,148,53.4,
strategyxregimexbreadth=london_burst_fade|neutral|>=4,191,52.4,0.0162,1.1,3.1,16,1.01,1.29,142,0.021,49,0.003,0.13,56,57.1,
atrpxregime=mid|bear,1960,52.3,-0.0064,0.95,-12.5,16,inf,inf,853,-0.013,1107,-0.001,0.11,1052,50.9,
symbol=1000LUNCUSDT,405,52.3,0.0073,1.06,2.9,60,0.55,1.0,200,-0.0,201,0.014,0.12,164,50.6,
cascxsymbol=N|1000LUNCUSDT,405,52.3,0.0073,1.06,2.9,60,0.55,1.0,200,-0.0,201,0.014,0.12,164,50.6,
sessionxsymbol=None|1000LUNCUSDT,405,52.3,0.0073,1.06,2.9,60,0.55,1.0,200,-0.0,201,0.014,0.12,164,50.6,
symbolxweekday=BNBUSDT|6,128,52.3,-0.0269,0.8,-3.4,9,inf,inf,66,-0.032,62,-0.021,0.09,30,56.7,
strategyxweekday=london_burst_fade|3,342,52.3,0.0551,1.37,18.8,7,0.57,0.43,159,0.073,183,0.04,0.18,101,47.5,
imbxsymbol=>=0.5|1000LUNCUSDT,321,52.3,0.0123,1.11,3.9,49,0.41,1.0,173,-0.002,144,0.027,0.1,111,51.4,
symbolxweekday=FILUSDT|2,107,52.3,-0.015,0.88,-1.6,9,inf,inf,71,-0.001,36,-0.043,0.05,35,48.6,
atrpxsym_state=hi|bear,407,52.3,0.0182,1.22,7.4,29,0.54,0.42,258,0.013,149,0.027,0.07,191,48.7,
regimexweekday=bear|1,472,52.3,0.0025,1.02,1.2,4,2.58,2.06,421,0.0,51,0.021,0.1,92,50.0,
atrpxweekday=NA|2,644,52.3,0.0165,1.14,10.6,2,1.02,0.5,630,0.017,14,-0.019,0.15,14,42.9,
volzxweekday=NA|2,644,52.3,0.0165,1.14,10.6,2,1.02,0.5,630,0.017,14,-0.019,0.15,14,42.9,
imbxside=<0.5|SHORT,5737,52.3,-0.0043,0.95,-24.7,63,inf,inf,2627,0.011,3082,-0.017,0.07,2152,50.7,
breadthxsymbol=2-3|TAOUSDT,86,52.3,-0.0018,0.98,-0.2,24,inf,inf,46,0.026,40,-0.033,0.06,45,51.1,
concxstrategy=NA|setup_follow,86,52.3,0.0045,1.07,0.4,2,6.42,2.0,45,0.055,0,,0.09,0,,
mktbxstrategy=NA|setup_follow,86,52.3,0.0045,1.07,0.4,2,6.42,2.0,45,0.055,0,,0.09,0,,
regimexstrategy=NA|setup_follow,86,52.3,0.0045,1.07,0.4,2,6.42,2.0,45,0.055,0,,0.09,0,,
symbolxweekday=XLMUSDT|6,86,52.3,-0.0291,0.76,-2.5,9,inf,inf,39,-0.029,47,-0.029,0.12,34,52.9,
strategyxregimexadx=setup_follow|NA|NA,86,52.3,0.0045,1.07,0.4,2,6.42,2.0,45,0.055,0,,0.09,0,,
strategyxregimexbreadth=setup_follow|NA|NA,86,52.3,0.0045,1.07,0.4,2,6.42,2.0,45,0.055,0,,0.09,0,,
strategyxregimexbreadth=burst_follow|neutral|2-3,688,52.3,-0.0062,0.91,-4.3,27,inf,inf,350,-0.002,338,-0.01,0.08,463,51.8,
strategyxregimextrig=setup_follow|NA|bar,86,52.3,0.0045,1.07,0.4,2,6.42,2.0,45,0.055,0,,0.09,0,,
sidexvolz=LONG|>=5,1808,52.3,0.0116,1.11,21.0,56,0.68,0.24,853,0.008,955,0.014,0.09,536,54.3,
strategyxv3=burst_follow|Y,323,52.3,-0.0354,0.65,-11.4,55,inf,inf,147,-0.023,175,-0.045,0.08,91,54.9,
symbolxvolz=ETHUSDT|>=5,151,52.3,0.0188,1.13,2.8,42,0.58,1.0,75,-0.01,76,0.047,0.2,77,54.5,
adxxweekday=>=30|6,1252,52.3,0.0031,1.03,3.9,3,2.36,0.55,0,,1252,0.003,0.08,569,50.8,
symbol=BNBUSDT,908,52.3,-0.0104,0.92,-9.5,59,inf,inf,458,-0.001,439,-0.02,0.1,252,51.6,
sessionxsymbol=None|BNBUSDT,908,52.3,-0.0104,0.92,-9.5,59,inf,inf,458,-0.001,439,-0.02,0.1,252,51.6,
concxsymbol=0-1|BNBUSDT,130,52.3,0.0153,1.12,2.0,28,0.92,1.0,18,0.007,112,0.017,0.15,129,51.9,
oidxsymbol=>0.5|HYPEUSDT,65,52.3,0.0069,1.1,0.4,8,1.29,1.0,0,,65,0.007,0.05,42,47.6,
cascximb=Y|>=0.5,2407,52.3,-0.0029,0.97,-7.1,29,inf,inf,208,-0.002,2199,-0.003,0.06,1120,52.1,
adxxstrategy=NA|burst_follow,2092,52.3,0.0063,1.1,13.1,15,0.63,0.22,2009,0.007,0,,0.08,0,,
breadthxstrategy=NA|burst_follow,2092,52.3,0.0063,1.1,13.1,15,0.63,0.22,2009,0.007,0,,0.08,0,,
spreadxstrategy=NA|burst_follow,2092,52.3,0.0063,1.1,13.1,15,0.63,0.22,2009,0.007,0,,0.08,0,,
strategyxsym_state=burst_follow|NA,2092,52.3,0.0063,1.1,13.1,15,0.63,0.22,2009,0.007,0,,0.08,0,,
decile_bandxsymbol=D10|APTUSDT,109,52.3,-0.0001,1.0,-0.0,31,inf,inf,52,0.065,57,-0.059,0.17,18,50.0,
regimexsymbol=bear|APTUSDT,109,52.3,0.0396,1.41,4.3,17,0.23,1.0,62,0.032,47,0.049,0.08,29,48.3,Y
oidxvs=<-0.5|N,4012,52.3,-0.0088,0.91,-35.3,49,inf,inf,1016,-0.008,2996,-0.009,0.07,1620,52.0,
v3xvolz=N|>=5,2159,52.3,0.0101,1.09,21.8,48,0.25,0.31,1092,0.013,1067,0.007,0.09,534,53.0,Y
mktbxvolz=30-60|2-5,570,52.3,-0.0015,0.98,-0.9,4,inf,inf,0,,570,-0.002,0.05,185,49.7,
