cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
stratxsym=nony_momentum|ZECUSDT,144,56.2,56.2,0.0324,1.84,4.7,42,0.11,"[48.1,64.1]",41.1,1.77e-04,0.007,83,54.2,0.039,Y,61,59.0,0.023,Y,0.047,0.024,0.025,4,0.8,YES
decbxsession=D10|london,1162,50.9,50.9,0.0258,1.23,29.9,60,0.17,"[48.0,53.7]",45.8,2.75e-04,0.010,670,50.1,0.028,Y,492,51.8,0.023,Y,0.035,0.033,0.01,9,10.2,YES
regimexside=bear|LONG,2996,52.4,52.4,0.0184,1.19,55.2,21,0.32,"[50.6,54.2]",48.0,7.49e-07,0.000,1978,51.8,0.02,Y,1018,53.4,0.015,Y,0.02,0.011,0.021,38,22.3,YES
regimexstrat=neutral|fade_3h_london,48,39.6,39.6,0.0374,1.27,1.8,8,1.19,"[27.0,53.7]",34.0,2.51e-01,0.892,47,38.3,0.013,N,1,100.0,1.172,N,0.013,,1.172,7,2.7,NO
stratxsidexregime=fade_3h_london|LONG|neutral,48,39.6,39.6,0.0374,1.27,1.8,8,1.19,"[27.0,53.7]",34.0,2.51e-01,0.892,47,38.3,0.013,N,1,100.0,1.172,N,0.013,,1.172,7,2.7,NO
stratxweekdayxregime=london_burst_fade|3|bear,66,68.2,68.2,0.1714,2.83,11.3,2,0.94,"[56.2,78.2]",43.1,3.48e-05,0.002,65,67.7,0.164,Y,1,100.0,0.632,N,0.164,,0.632,5,2.4,NO
stratxweekdayxhourb=follow_3h_all|0|18-23,31,58.1,58.1,0.0741,1.44,2.3,5,2.2,"[40.8,73.6]",49.0,2.03e-01,0.813,27,55.6,0.014,N,4,75.0,0.479,N,0.217,-0.392,0.479,5,3.6,NO
stratxregimexadxb=ny_flush_buy_4h|bull|20-30,59,62.7,62.7,0.1847,3.91,10.9,9,0.54,"[50.0,73.9]",30.1,2.27e-07,0.000,40,52.5,0.07,Y,19,84.2,0.427,Y,0.056,0.085,0.427,6,1.8,NO
rvbxstrat=<2|fade_3h_london,43,39.5,39.5,0.0589,1.42,2.5,13,0.55,"[26.4,54.4]",31.6,1.69e-01,0.759,36,36.1,-0.003,N,7,57.1,0.377,N,-0.003,,0.377,11,2.6,NO
stratxregimexdecb=london_burst_fade|bear|D4-9,52,59.6,59.6,0.1196,2.05,6.2,10,0.51,"[46.1,71.8]",41.8,7.34e-03,0.103,45,57.8,0.083,N,7,71.4,0.357,N,0.083,,0.357,7,2.6,NO
stratxsym=follow_3h_all|ETHUSDT,71,63.4,63.4,0.0354,1.23,2.5,21,0.67,"[51.8,73.6]",58.4,2.32e-01,0.862,66,62.1,0.012,N,5,80.0,0.347,N,0.031,-0.605,0.347,3,3.0,NO
stratxweekdayxregime=follow_3h_all|1|neutral,51,68.6,68.6,0.1867,3.29,9.5,5,0.57,"[55.0,79.7]",39.9,3.19e-05,0.001,48,66.7,0.178,Y,3,100.0,0.333,N,0.166,0.442,0.333,12,3.5,NO
rvbxsym=NA|UNIUSDT,59,50.8,50.8,0.0154,1.13,0.9,8,0.74,"[38.4,63.2]",47.9,3.70e-01,1.000,57,49.1,0.004,N,2,100.0,0.333,N,0.004,0.166,,3,1.8,NO
adxbxsym=NA|UNIUSDT,167,47.9,47.9,-0.0015,0.99,-0.3,17,inf,"[40.5,55.4]",48.2,5.60e-01,1.000,165,47.3,-0.006,N,2,100.0,0.333,N,-0.006,0.166,,6,2.6,NO
sprbxsym=NA|UNIUSDT,167,47.9,47.9,-0.0015,0.99,-0.3,17,inf,"[40.5,55.4]",48.2,5.60e-01,1.000,165,47.3,-0.006,N,2,100.0,0.333,N,-0.006,0.166,,6,2.6,NO
stratxweekdayxregime=ny_flush_buy_4h|2|bull,80,68.8,68.8,0.2049,4.81,16.4,6,0.48,"[57.9,77.8]",31.4,7.94e-12,0.000,28,57.1,0.083,Y,52,75.0,0.27,Y,0.078,0.087,0.27,6,1.2,NO
stratxweekday=follow_3h_all|0,131,58.8,58.8,0.043,1.36,5.6,5,0.78,"[50.2,66.8]",51.1,4.75e-02,0.364,122,58.2,0.028,N,9,66.7,0.247,N,0.061,-0.392,0.247,9,4.0,NO
stratxregimexdecb=follow_3h_all|bear|D10,43,72.1,72.1,0.1412,2.84,6.1,7,0.79,"[57.3,83.3]",47.6,1.00e-03,0.026,41,70.7,0.136,Y,2,100.0,0.245,N,0.134,0.183,0.245,5,2.0,NO
stratxweekdayxhourb=ny_flush_buy_4h|4|18-23,50,74.0,74.0,0.1833,3.11,9.2,8,0.64,"[60.4,84.1]",47.8,1.46e-04,0.006,20,70.0,0.096,N,30,76.7,0.241,Y,0.216,-0.079,0.294,2,1.3,NO
stratxweekdayxregime=nony_momentum|2|neutral,107,45.8,45.8,-0.0158,0.78,-1.7,3,inf,"[36.7,55.2]",52.1,9.19e-01,1.000,101,42.6,-0.029,N,6,100.0,0.205,N,-0.029,,0.205,19,4.4,NO
stratxregimexdecb=asia_burst_fade|neutral|D10,167,41.9,41.9,0.0055,1.03,0.9,25,6.8,"[34.7,49.5]",41.2,4.51e-01,1.000,125,36.0,-0.058,N,42,59.5,0.195,Y,-0.006,-0.084,0.201,12,13.5,NO
stratxweekend=fade_3h_london|True,42,57.1,57.1,0.2266,3.3,9.5,6,0.5,"[42.2,70.9]",28.8,1.13e-04,0.005,33,54.5,0.239,Y,9,66.7,0.179,N,0.239,,0.179,3,2.0,NO
stratxregimexdecb=asia_burst_fade|bear|D4-9,53,52.8,52.8,0.0751,1.58,4.0,13,0.46,"[39.7,65.6]",41.5,6.26e-02,0.438,38,55.3,0.036,N,15,46.7,0.175,N,0.053,-0.006,0.175,4,2.6,NO
stratxweekdayxregime=follow_3h_all|6|bear,40,62.5,62.5,0.1087,2.97,4.3,2,0.96,"[47.0,75.8]",35.9,5.61e-04,0.017,39,61.5,0.107,Y,1,100.0,0.174,N,0.107,,0.174,5,1.4,NO
stratxsym=follow_3h_all|XRPUSDT,50,54.0,54.0,0.0179,1.12,0.9,21,1.27,"[40.4,67.0]",51.2,3.98e-01,1.000,40,50.0,-0.019,N,10,70.0,0.164,Y,-0.031,0.478,0.164,5,2.7,NO
stratxregimexrvb=setup_fade|bear|>=5,48,62.5,62.5,0.1195,2.14,5.7,13,0.59,"[48.4,74.8]",43.8,6.93e-03,0.101,9,44.4,-0.061,N,39,66.7,0.161,Y,-0.077,0.124,0.165,5,1.5,NO
stratxregimexdecb=follow_3h_all|bull|D2-3,31,51.6,51.6,0.0141,1.12,0.4,9,3.0,"[34.8,68.0]",48.8,4.48e-01,1.000,10,10.0,-0.295,N,21,71.4,0.161,Y,-0.295,,0.161,9,3.4,NO
hourbxstrat=6-11|fade_3h_london,60,43.3,43.3,0.0016,1.01,0.1,16,18.38,"[31.6,55.9]",43.1,5.34e-01,1.000,46,39.1,-0.046,N,14,57.1,0.159,N,-0.046,,0.159,6,3.0,NO
stratxweekdayxregime=asia_burst_fade|5|bear,63,46.0,46.0,-0.0368,0.79,-2.3,2,inf,"[34.3,58.2]",52.0,8.58e-01,1.000,51,43.1,-0.082,N,12,58.3,0.155,N,-0.082,,0.155,6,5.3,NO
regimexweekday=NA|1,315,49.8,49.8,0.021,1.25,6.6,2,0.56,"[44.4,55.3]",44.4,2.89e-02,0.267,295,49.2,0.013,N,20,60.0,0.146,Y,0.013,0.146,,7,5.1,NO
rvbxweekday=NA|1,315,49.8,49.8,0.021,1.25,6.6,2,0.56,"[44.4,55.3]",44.4,2.89e-02,0.267,295,49.2,0.013,N,20,60.0,0.146,Y,0.013,0.146,,7,5.1,NO
adxbxweekday=NA|1,1045,49.9,49.9,0.0093,1.09,9.7,4,0.38,"[46.8,52.9]",47.6,7.60e-02,0.489,1025,49.7,0.007,N,20,60.0,0.146,Y,0.007,0.146,,13,8.3,NO
sprbxweekday=NA|1,1045,49.9,49.9,0.0093,1.09,9.7,4,0.38,"[46.8,52.9]",47.6,7.60e-02,0.489,1025,49.7,0.007,N,20,60.0,0.146,Y,0.007,0.146,,13,8.3,NO
sprbxstrat=<2bps|v65_strict_long,34,52.9,52.9,0.1232,1.84,4.2,12,0.55,"[36.7,68.5]",37.9,5.35e-02,0.394,1,0.0,-0.623,N,33,54.5,0.146,Y,,0.017,0.134,3,1.1,NO
sprbxstrat=<2bps|v65_strict_ny_long,34,52.9,52.9,0.1232,1.84,4.2,12,0.55,"[36.7,68.5]",37.9,5.35e-02,0.394,1,0.0,-0.623,N,33,54.5,0.146,Y,,0.017,0.134,3,1.1,NO
hourbxregime=0-5|NA,233,57.9,57.9,0.0117,1.08,2.7,6,1.16,"[51.5,64.1]",56.1,3.12e-01,0.971,202,56.9,-0.008,N,31,64.5,0.142,Y,-0.025,0.204,,3,10.2,NO
hourbxrvb=0-5|NA,919,51.6,51.6,0.0053,1.05,4.9,11,0.65,"[48.3,54.8]",50.5,2.58e-01,0.904,888,51.1,0.001,N,31,64.5,0.142,Y,-0.003,0.204,,8,12.8,NO
adxbxhourb=NA|0-5,2306,50.7,50.7,-0.0,1.0,-0.1,19,inf,"[48.6,52.7]",50.7,5.10e-01,1.000,2275,50.5,-0.002,N,31,64.5,0.142,Y,-0.003,0.204,,9,26.7,NO
hourbxsprb=0-5|NA,2306,50.7,50.7,-0.0,1.0,-0.1,19,inf,"[48.6,52.7]",50.7,5.10e-01,1.000,2275,50.5,-0.002,N,31,64.5,0.142,Y,-0.003,0.204,,9,26.7,NO
stratxweekdayxhourb=ny_flush_buy_4h|2|12-17,77,63.6,63.6,0.1086,2.39,8.4,8,0.68,"[52.5,73.5]",42.3,1.28e-04,0.005,29,55.2,0.058,N,48,68.8,0.139,Y,0.085,0.017,0.144,6,2.0,NO
stratxweekday=ny_flush_buy_4h|2,131,64.1,64.1,0.1274,2.45,16.7,8,0.47,"[55.6,71.8]",42.2,3.47e-07,0.000,57,63.2,0.113,Y,74,64.9,0.138,Y,0.129,0.078,0.154,6,4.1,NO
decbxstrat=D2-3|follow_3h_all,316,57.3,57.3,0.0407,1.36,12.9,25,0.38,"[51.8,62.6]",49.6,3.63e-03,0.064,292,56.5,0.033,Y,24,66.7,0.137,Y,0.033,0.004,0.137,13,7.4,NO
stratxweekdayxhourb=ny_flush_buy_4h|2|18-23,54,64.8,64.8,0.1541,2.51,8.3,8,0.75,"[51.5,76.2]",42.3,6.99e-04,0.021,28,71.4,0.17,Y,26,57.7,0.137,N,0.228,0.114,0.174,4,3.1,NO
stratxweekdayxregime=asia_burst_fade|1|neutral,213,47.9,47.9,0.0432,1.33,9.2,5,1.14,"[41.3,54.6]",40.9,2.33e-02,0.241,115,40.9,-0.036,N,98,56.1,0.136,Y,-0.064,-0.023,0.136,14,6.6,NO
stratxweekday=follow_3h_all|2,95,57.9,57.9,0.0174,1.13,1.7,5,4.6,"[47.8,67.3]",54.9,3.17e-01,0.972,89,56.2,0.009,N,6,83.3,0.136,N,0.007,0.085,0.136,13,9.1,NO
stratxweekdayxregime=setup_fade|1|bear,100,45.0,45.0,-0.0258,0.85,-2.6,4,inf,"[35.6,54.8]",49.0,8.15e-01,1.000,83,43.4,-0.059,N,17,52.9,0.136,Y,-0.067,-0.021,0.136,5,5.2,NO
stratxweekdayxregime=nony_momentum|0|bear,83,66.3,66.3,0.0782,3.17,6.5,2,0.86,"[55.6,75.5]",38.3,2.29e-07,0.000,76,64.5,0.073,Y,7,85.7,0.133,N,0.073,,0.133,14,1.8,NO
adxbxdecb=NA|D10,1103,52.4,52.4,0.0168,1.14,18.5,20,0.51,"[49.5,55.3]",49.2,1.87e-02,0.210,1086,52.3,0.015,N,17,58.8,0.133,Y,0.014,0.134,,9,10.2,NO
decbxsprb=D10|NA,1103,52.4,52.4,0.0168,1.14,18.5,20,0.51,"[49.5,55.3]",49.2,1.87e-02,0.210,1086,52.3,0.015,N,17,58.8,0.133,Y,0.014,0.134,,9,10.2,NO
decbxrvb=D10|NA,395,53.2,53.2,0.0035,1.03,1.4,12,1.2,"[48.2,58.0]",52.5,4.14e-01,1.000,378,52.9,-0.002,N,17,58.8,0.133,Y,-0.005,0.134,,4,7.5,NO
decbxregime=D10|NA,130,59.2,59.2,0.0019,1.01,0.3,7,6.54,"[50.6,67.3]",59.0,5.12e-01,1.000,113,59.3,-0.018,N,17,58.8,0.133,Y,-0.03,0.134,,3,7.5,NO
stratxweekdayxregime=ny_flush_buy_4h|5|bull,34,73.5,73.5,0.1292,3.23,4.4,2,0.72,"[56.9,85.4]",46.2,1.14e-03,0.027,0,,,N,34,73.5,0.129,Y,,,0.129,5,1.4,NO
stratxweekdayxhourb=asia_burst_fade|4|6-11,94,51.1,51.1,0.0167,1.11,1.6,8,3.38,"[41.1,60.9]",48.3,3.35e-01,0.988,37,27.0,-0.156,N,57,66.7,0.129,Y,-0.183,-0.082,0.129,13,6.9,NO
stratxsym=ny_flush_buy_4h|SOLUSDT,69,53.6,53.6,0.0742,1.63,5.1,45,0.46,"[42.0,64.9]",41.5,2.86e-02,0.267,33,42.4,0.016,N,36,63.9,0.128,Y,-0.038,0.022,0.16,5,1.8,NO
stratxsym=asia_burst_fade|TAOUSDT,47,51.1,51.1,-0.0126,0.94,-0.6,28,inf,"[37.2,64.7]",52.7,6.44e-01,1.000,19,31.6,-0.211,N,28,64.3,0.122,N,-0.197,0.001,0.083,5,4.0,NO
stratxweekdayxhourb=asia_burst_fade|3|6-11,61,52.5,52.5,0.0824,1.53,5.0,6,1.11,"[40.2,64.5]",41.9,6.20e-02,0.436,42,47.6,0.064,N,19,63.2,0.122,N,0.082,-0.065,0.122,7,3.7,NO
adxbxsym=NA|NEARUSDT,253,52.2,52.2,0.0077,1.07,2.0,17,0.75,"[46.0,58.3]",50.5,3.15e-01,0.971,252,52.0,0.007,N,1,100.0,0.121,N,0.006,0.178,,5,3.5,NO
sprbxsym=NA|NEARUSDT,253,52.2,52.2,0.0077,1.07,2.0,17,0.75,"[46.0,58.3]",50.5,3.15e-01,0.971,252,52.0,0.007,N,1,100.0,0.121,N,0.006,0.178,,5,3.5,NO
rvbxsym=NA|NEARUSDT,131,52.7,52.7,0.0056,1.05,0.7,9,2.0,"[44.2,61.0]",51.4,4.22e-01,1.000,130,52.3,0.005,N,1,100.0,0.121,N,0.003,0.178,,3,3.5,NO
regimexsym=NA|NEARUSDT,33,57.6,57.6,-0.0273,0.84,-0.9,4,inf,"[40.8,72.8]",61.8,7.53e-01,1.000,32,56.2,-0.032,N,1,100.0,0.121,N,-0.041,0.178,,3,2.8,NO
stratxsym=setup_fade|ETHUSDT,160,56.2,56.9,0.0655,1.4,10.5,54,0.22,"[48.5,63.7]",47.9,2.14e-02,0.224,67,49.3,-0.012,N,93,61.3,0.121,Y,-0.014,0.094,0.077,7,4.3,NO
stratxweekdayxregime=ny_flush_buy_4h|6|bull,35,77.1,77.1,0.1201,4.82,4.2,1,1.0,"[61.0,87.9]",41.2,1.64e-05,0.001,0,,,N,35,77.1,0.12,Y,,,0.12,3,0.4,NO
stratxregimexrvb=asia_burst_fade|bear|<2,139,45.3,45.3,0.0057,1.03,0.8,8,3.73,"[37.3,53.6]",44.6,4.60e-01,1.000,76,35.5,-0.089,N,63,57.1,0.12,Y,-0.233,-0.041,0.12,10,7.9,NO
regimexstrat=bear|follow_3h_all,166,58.4,58.4,0.0629,1.62,10.4,11,0.42,"[50.8,65.7]",46.5,1.29e-03,0.029,161,57.8,0.061,Y,5,80.0,0.118,N,0.061,0.085,0.118,16,5.7,NO
stratxsidexregime=follow_3h_all|LONG|bear,166,58.4,58.4,0.0629,1.62,10.4,11,0.42,"[50.8,65.7]",46.5,1.29e-03,0.029,161,57.8,0.061,Y,5,80.0,0.118,N,0.061,0.085,0.118,16,5.7,NO
stratxsym=ny_flush_buy_4h|ETHUSDT,82,57.3,57.3,0.085,1.7,7.0,48,0.32,"[46.5,67.5]",44.1,1.09e-02,0.139,40,55.0,0.055,N,42,59.5,0.114,Y,0.03,0.048,0.141,5,1.6,NO
hourbxregime=12-17|NA,313,52.4,52.4,0.0378,1.39,11.8,6,0.88,"[46.9,57.9]",44.2,2.19e-03,0.043,308,52.3,0.037,Y,5,60.0,0.113,N,0.035,0.105,,7,5.3,NO
hourbxrvb=12-17|NA,934,52.2,52.2,0.0247,1.25,23.1,10,0.47,"[49.0,55.4]",46.6,3.39e-04,0.012,929,52.2,0.024,Y,5,60.0,0.113,N,0.023,0.105,,7,6.4,NO
adxbxhourb=NA|12-17,1992,51.4,51.4,0.0155,1.15,30.8,18,0.44,"[49.2,53.5]",47.9,1.17e-03,0.027,1987,51.3,0.015,Y,5,60.0,0.113,N,0.015,0.105,,11,12.4,NO
hourbxsprb=12-17|NA,1992,51.4,51.4,0.0155,1.15,30.8,18,0.44,"[49.2,53.5]",47.9,1.17e-03,0.027,1987,51.3,0.015,Y,5,60.0,0.113,N,0.015,0.105,,11,12.4,NO
stratxweekdayxregime=london_burst_fade|2|neutral,89,51.7,51.7,0.0824,1.58,7.3,2,0.65,"[41.5,61.8]",40.4,2.01e-02,0.218,66,53.0,0.073,N,23,47.8,0.111,N,0.073,,0.111,13,8.2,NO
stratxweekdayxregime=asia_pump_short_4h|0|neutral,35,80.0,80.0,0.2185,3.32,7.6,5,0.47,"[64.1,90.0]",54.6,1.62e-03,0.033,23,78.3,0.276,Y,12,83.3,0.109,N,0.396,0.199,0.109,2,1.0,NO
stratxweekdayxregime=setup_fade|0|bull,94,61.7,61.7,0.1078,1.96,10.1,1,1.0,"[51.6,70.9]",45.1,8.63e-04,0.024,0,,,N,94,61.7,0.108,Y,,,0.108,5,2.4,NO
stratxweekdayxregime=london_burst_fade|6|bull,104,54.8,54.8,0.1056,2.06,11.0,1,1.0,"[45.2,64.0]",37.1,1.80e-04,0.007,0,,,N,104,54.8,0.106,Y,,,0.106,10,2.3,NO
symxweekday=1000LUNCUSDT|3,34,50.0,50.0,-0.0161,0.91,-0.5,8,inf,"[34.1,65.9]",52.5,6.78e-01,1.000,20,50.0,-0.1,N,14,50.0,0.104,N,-0.113,-0.024,0.087,2,2.6,NO
rvbxstrat=NA|asia_pump_short_4h,47,68.1,68.1,0.1883,4.36,8.8,6,0.47,"[53.8,79.6]",32.8,8.21e-07,0.000,10,90.0,0.499,N,37,62.2,0.104,Y,0.28,0.182,,3,1.0,NO
regimexstrat=NA|asia_pump_short_4h,44,65.9,65.9,0.1821,4.04,8.0,5,0.52,"[51.1,78.1]",32.3,5.20e-06,0.000,7,85.7,0.593,N,37,62.2,0.104,Y,,0.182,,3,1.0,NO
stratxregimexadxb=asia_pump_short_4h|NA|NA,44,65.9,65.9,0.1821,4.04,8.0,5,0.52,"[51.1,78.1]",32.3,5.20e-06,0.000,7,85.7,0.593,N,37,62.2,0.104,Y,,0.182,,3,1.0,NO
stratxsidexregime=asia_pump_short_4h|SHORT|NA,44,65.9,65.9,0.1821,4.04,8.0,5,0.52,"[51.1,78.1]",32.3,5.20e-06,0.000,7,85.7,0.593,N,37,62.2,0.104,Y,,0.182,,3,1.0,NO
stratxregimexrvb=asia_pump_short_4h|NA|NA,44,65.9,65.9,0.1821,4.04,8.0,5,0.52,"[51.1,78.1]",32.3,5.20e-06,0.000,7,85.7,0.593,N,37,62.2,0.104,Y,,0.182,,3,1.0,NO
adxbxstrat=NA|asia_pump_short_4h,120,60.8,60.8,0.1215,2.34,14.6,14,0.28,"[51.9,69.1]",39.9,3.10e-06,0.000,83,60.2,0.129,Y,37,62.2,0.104,Y,0.087,0.182,,5,3.6,NO
sprbxstrat=NA|asia_pump_short_4h,120,60.8,60.8,0.1215,2.34,14.6,14,0.28,"[51.9,69.1]",39.9,3.10e-06,0.000,83,60.2,0.129,Y,37,62.2,0.104,Y,0.087,0.182,,5,3.6,NO
regimexsession=NA|asia,290,55.2,55.2,0.0128,1.09,3.7,6,1.12,"[49.4,60.8]",53.1,2.62e-01,0.907,253,54.2,-0.001,N,37,62.2,0.104,Y,-0.018,0.182,,7,10.2,NO
rvbxside=NA|SHORT,1450,51.4,51.4,0.0001,1.0,0.2,12,45.79,"[48.8,53.9]",51.3,5.01e-01,1.000,1413,51.1,-0.003,N,37,62.2,0.104,Y,-0.006,0.182,,17,39.4,NO
adxbxside=NA|SHORT,3220,51.7,51.7,-0.0004,1.0,-1.2,20,inf,"[50.0,53.5]",51.8,5.42e-01,1.000,3183,51.6,-0.002,N,37,62.2,0.104,Y,-0.003,0.182,,18,39.4,NO
sidexsprb=SHORT|NA,3220,51.7,51.7,-0.0004,1.0,-1.2,20,inf,"[50.0,53.5]",51.8,5.42e-01,1.000,3183,51.6,-0.002,N,37,62.2,0.104,Y,-0.003,0.182,,18,39.4,NO
rvbxsession=NA|asia,1134,50.8,50.8,-0.0025,0.98,-2.9,11,inf,"[47.9,53.7]",51.3,6.52e-01,1.000,1097,50.4,-0.006,N,37,62.2,0.104,Y,-0.01,0.182,,7,17.5,NO
adxbxsession=NA|asia,2826,50.2,50.2,-0.0049,0.96,-13.8,19,inf,"[48.4,52.1]",51.3,8.77e-01,1.000,2789,50.1,-0.006,N,37,62.2,0.104,Y,-0.008,0.182,,9,40.5,NO
sessionxsprb=asia|NA,2826,50.2,50.2,-0.0049,0.96,-13.8,19,inf,"[48.4,52.1]",51.3,8.77e-01,1.000,2789,50.1,-0.006,N,37,62.2,0.104,Y,-0.008,0.182,,9,40.5,NO
regimexside=NA|SHORT,352,48.9,48.9,-0.0194,0.88,-6.8,7,inf,"[43.7,54.1]",52.0,8.93e-01,1.000,315,47.3,-0.034,N,37,62.2,0.104,Y,-0.048,0.182,,17,26.8,NO
stratxregimexrvb=asia_burst_fade|neutral|>=5,151,43.7,43.7,-0.0039,0.98,-0.6,25,inf,"[36.1,51.7]",44.3,5.87e-01,1.000,114,40.4,-0.038,N,37,54.1,0.103,N,0.05,-0.118,0.124,6,11.1,NO
stratxweekdayxhourb=london_burst_fade|6|12-17,99,48.5,48.5,0.0729,1.73,7.2,7,0.96,"[38.9,58.2]",35.2,4.47e-03,0.073,27,37.0,-0.005,N,72,52.8,0.102,Y,-0.005,-0.013,0.113,8,2.2,NO
stratxregimexdecb=late_fade|neutral|D4-9,73,64.4,64.4,0.0751,2.94,5.5,14,0.79,"[52.9,74.4]",38.1,4.75e-06,0.000,32,59.4,0.041,Y,41,68.3,0.102,Y,0.016,0.051,0.117,7,1.0,NO
stratxsym=london_burst_fade|ENAUSDT,101,57.4,57.4,0.0669,1.46,6.8,32,0.44,"[47.7,66.6]",48.0,3.62e-02,0.309,28,57.1,-0.024,N,73,57.5,0.102,Y,-0.16,0.175,0.095,5,3.4,NO
stratxregimexdecb=asia_pump_short_4h|neutral|D2-3,87,62.1,62.1,0.0538,1.46,4.7,25,0.51,"[51.6,71.5]",52.9,5.31e-02,0.394,56,57.1,0.027,N,31,71.0,0.102,N,0.057,-0.03,0.136,4,2.6,NO
symxv3=1000LUNCUSDT|False,58,70.7,70.7,0.0783,2.76,4.5,18,0.27,"[58.0,80.8]",46.7,1.84e-04,0.007,30,70.0,0.057,N,28,71.4,0.101,Y,0.093,0.016,0.101,3,1.0,NO
stratxweekdayxhourb=asia_burst_fade|5|0-5,262,50.8,50.8,0.0573,1.4,15.0,8,1.26,"[44.7,56.8]",42.4,3.89e-03,0.067,67,41.8,-0.064,N,195,53.8,0.099,Y,-0.06,-0.02,0.102,21,9.7,NO
stratxweekdayxregime=setup_fade|2|bear,149,53.0,53.0,0.0073,1.04,1.1,3,5.91,"[45.0,60.9]",52.0,4.38e-01,1.000,84,53.6,-0.063,N,65,52.3,0.099,Y,-0.021,-0.081,0.099,8,10.0,NO
stratxregimexrvb=follow_3h_all|bull|<2,47,44.7,44.7,0.0074,1.07,0.3,11,5.22,"[31.4,58.8]",43.1,4.70e-01,1.000,9,0.0,-0.374,N,38,55.3,0.098,Y,-0.374,,0.098,9,3.4,NO
stratxweekday=fade_3h_late|6,31,45.2,45.2,-0.0126,0.87,-0.4,4,inf,"[29.2,62.2]",48.7,7.16e-01,1.000,14,21.4,-0.146,N,17,64.7,0.097,Y,-0.146,,0.097,7,2.4,NO
stratxweekdayxhourb=fade_3h_late|6|18-23,31,45.2,45.2,-0.0126,0.87,-0.4,4,inf,"[29.2,62.2]",48.7,7.16e-01,1.000,14,21.4,-0.146,N,17,64.7,0.097,Y,-0.146,,0.097,7,2.4,NO
stratxregimexrvb=nony_momentum|bear|>=5,42,78.6,78.6,0.1375,6.09,5.8,9,0.8,"[64.1,88.3]",37.6,7.05e-08,0.000,28,75.0,0.158,Y,14,85.7,0.096,Y,0.245,-0.058,0.096,6,0.9,NO
stratxsidexregime=asia_burst_fade|LONG|bear,171,47.4,47.4,0.0079,1.05,1.3,12,1.69,"[40.0,54.8]",46.2,4.09e-01,1.000,116,43.1,-0.032,N,55,56.4,0.091,Y,-0.033,-0.026,0.091,7,8.8,NO
hourbxsym=12-17|AAVEUSDT,44,63.6,63.6,0.0914,2.48,4.0,9,0.46,"[48.9,76.2]",41.3,2.35e-03,0.045,0,,,N,44,63.6,0.091,Y,,,0.091,2,0.7,NO
decbxsym=D10|1000LUNCUSDT,64,57.8,57.8,0.0349,1.31,2.2,22,0.34,"[45.6,69.1]",51.2,1.76e-01,0.768,36,58.3,-0.009,N,28,57.1,0.091,N,-0.042,0.059,0.067,3,1.6,NO
stratxweekend=follow_3h_all|False,408,60.5,60.5,0.0692,1.65,28.2,27,0.27,"[55.7,65.2]",48.2,3.74e-07,0.000,345,60.3,0.065,Y,63,61.9,0.09,Y,0.075,-0.171,0.09,14,11.0,NO
stratxweekdayxhourb=nony_momentum|5|18-23,45,40.0,40.0,-0.0557,0.44,-2.5,5,inf,"[27.0,54.5]",60.4,9.98e-01,1.000,30,20.0,-0.128,N,15,80.0,0.089,Y,-0.128,0.123,0.084,15,3.9,NO
rvbxstrat=<2|follow_3h_all,226,53.5,53.5,0.0137,1.1,3.1,24,0.87,"[47.0,59.9]",51.2,2.61e-01,0.907,182,53.3,-0.005,N,44,54.5,0.089,Y,0.001,-1.001,0.089,13,9.9,NO
stratxweekdayxregime=setup_fade|4|neutral,451,50.6,50.6,0.0458,1.29,20.7,6,0.37,"[46.0,55.1]",44.2,3.89e-03,0.067,334,48.2,0.031,N,117,57.3,0.088,Y,0.045,0.042,0.086,9,5.5,NO
stratxweekdayxhourb=setup_fade|5|6-11,175,56.0,56.0,0.0583,1.46,10.2,9,0.46,"[48.6,63.1]",46.5,7.44e-03,0.103,81,49.4,0.024,N,94,61.7,0.088,Y,0.023,0.057,0.101,5,2.4,NO
stratxweekdayxhourb=nony_momentum|0|0-5,174,66.1,66.1,0.0509,2.82,8.8,7,0.53,"[58.8,72.7]",40.9,1.67e-11,0.000,88,56.8,0.015,N,86,75.6,0.087,Y,0.016,0.014,0.087,5,0.8,NO
decbxstrat=D10|asia_burst_fade,369,44.2,44.2,-0.0169,0.92,-6.2,52,inf,"[39.2,49.3]",46.4,8.14e-01,1.000,210,39.5,-0.096,N,159,50.3,0.087,Y,-0.116,-0.038,0.083,17,20.2,NO
stratxweekdayxregime=setup_fade|3|neutral,264,54.2,54.2,0.0413,1.26,10.9,5,0.8,"[48.1,60.1]",48.4,3.42e-02,0.296,134,49.3,-0.002,N,130,59.2,0.086,Y,-0.075,0.082,0.063,8,6.0,NO
stratxweekdayxhourb=london_burst_fade|2|12-17,137,59.1,59.1,0.1181,1.9,16.2,8,0.39,"[50.8,67.0]",43.3,1.38e-04,0.006,71,59.2,0.15,Y,66,59.1,0.084,Y,0.141,0.181,0.084,7,2.8,NO
