cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
adxbxsprb=20-30|2-5bps,1773,48.6,48.6,-0.0054,0.95,-9.6,39,inf,"[46.3,50.9]",49.8,8.53e-01,1.000,834,48.7,0.0,N,939,48.6,-0.01,N,0.006,-0.001,-0.016,7,17.2,NO
sessionxv3=late|True,831,48.7,48.7,-0.0005,1.0,-0.4,59,inf,"[45.4,52.1]",48.8,5.37e-01,1.000,376,48.1,0.011,N,455,49.2,-0.01,N,0.015,0.011,-0.021,5,9.3,NO
symxweekend=FILUSDT|False,552,51.3,51.3,-0.0106,0.91,-5.8,45,inf,"[47.1,55.4]",53.5,8.63e-01,1.000,324,50.0,-0.011,N,228,53.1,-0.01,N,0.004,-0.034,-0.003,5,11.4,NO
stratxregimexadxb=asia_pump_short_4h|neutral|20-30,94,58.5,58.5,-0.0174,0.91,-1.6,17,inf,"[48.4,67.9]",60.8,7.17e-01,1.000,51,54.9,-0.023,N,43,62.8,-0.01,N,0.035,-0.093,0.08,6,7.4,NO
decbxsession=D2-3|ny,5401,50.9,50.9,-0.0023,0.98,-12.3,61,inf,"[49.6,52.2]",51.5,8.15e-01,1.000,2610,51.3,0.006,N,2791,50.5,-0.01,N,0.005,-0.002,-0.008,25,42.8,NO
sym=ADAUSDT,1152,49.8,49.8,-0.0025,0.98,-2.9,63,inf,"[46.9,52.7]",50.4,6.69e-01,1.000,640,49.2,0.004,N,512,50.6,-0.01,N,-0.004,0.021,-0.017,5,8.9,NO
symxvolb=ADAUSDT|hi>=0.40%,1152,49.8,49.8,-0.0025,0.98,-2.9,63,inf,"[46.9,52.7]",50.4,6.69e-01,1.000,640,49.2,0.004,N,512,50.6,-0.01,N,-0.004,0.021,-0.017,5,8.9,NO
adxbxsym=>=30|FILUSDT,179,52.5,52.5,-0.0105,0.92,-1.9,12,inf,"[45.2,59.7]",54.7,7.48e-01,1.000,0,,,N,179,52.5,-0.01,N,,0.092,-0.012,4,5.0,NO
symxweekend=XLMUSDT|False,479,50.7,50.7,0.0009,1.01,0.4,44,4.18,"[46.3,55.2]",50.5,4.85e-01,1.000,288,50.7,0.008,N,191,50.8,-0.01,N,0.02,-0.003,-0.018,4,5.5,NO
stratxsym=nony_momentum|FETUSDT,40,55.0,55.0,-0.005,0.92,-0.2,22,inf,"[39.8,69.3]",57.1,6.68e-01,1.000,27,48.1,-0.002,N,13,69.2,-0.011,N,0.053,-0.058,-0.002,5,1.5,NO
sidexsym=SHORT|ETHUSDT,1824,51.2,51.2,-0.003,0.97,-5.5,63,inf,"[48.9,53.4]",51.9,7.35e-01,1.000,1070,52.3,0.002,N,754,49.5,-0.011,N,0.004,0.01,-0.019,9,18.3,NO
adxbxsession=<20|ny,454,51.1,51.1,-0.0017,0.98,-0.8,6,inf,"[46.5,55.7]",51.5,5.89e-01,1.000,208,53.8,0.009,N,246,48.8,-0.011,N,0.001,0.004,-0.021,14,10.0,NO
symxweekday=CHZUSDT|6,62,48.4,48.4,0.0034,1.03,0.2,7,2.61,"[36.4,60.6]",47.5,4.97e-01,1.000,30,46.7,0.018,N,32,50.0,-0.011,N,0.018,-0.003,-0.017,4,1.3,NO
adxb=20-30,11103,50.3,50.3,-0.0037,0.97,-40.6,39,inf,"[49.3,51.2]",51.1,9.54e-01,1.000,5522,50.7,0.003,N,5581,49.9,-0.011,N,0.004,0.002,-0.015,23,71.7,NO
adxbxvolb=20-30|hi>=0.40%,11103,50.3,50.3,-0.0037,0.97,-40.6,39,inf,"[49.3,51.2]",51.1,9.54e-01,1.000,5522,50.7,0.003,N,5581,49.9,-0.011,N,0.004,0.002,-0.015,23,71.7,NO
