threshold,n_trades,win_rate,avg_R,expectancy,profit_factor,total_R,kelly_frac
-1.0,3740,52.4,0.038,0.038,1.03,143.7,0.2
-0.5,2942,54.9,0.269,0.269,1.25,792.0,1.4
0.0,1933,58.2,0.443,0.443,1.43,855.4,2.3
0.25,1320,59.4,0.54,0.54,1.57,712.8,3.1
0.5,851,60.8,0.599,0.599,1.71,509.9,3.6
0.75,158,65.2,1.261,1.261,3.46,199.2,7.9
1.0,158,65.2,1.261,1.261,3.46,199.2,7.9
1.25,130,66.9,1.364,1.364,3.72,177.3,8.4
1.5,40,72.5,1.57,1.57,6.71,62.8,11.4
