date,n_trades,total_R,avg_R,win_rate,best_trade,worst_trade,cum_R
2026-06-19,2,1.57,0.787,100.0,0.9977957384275369,0.576470588235354,1.574266326662891
2026-06-20,1,-2.25,-2.245,0.0,-2.245283018867957,-2.245283018867957,-0.6710166922050662
2026-06-21,35,161.98,4.628,91.4,9.772903225806497,-1.7970149253731114,161.31132688446425
2026-06-22,29,-2.86,-0.099,37.9,2.739130434782644,-3.8523489932885946,158.45463300729776
2026-06-23,2,4.94,2.468,100.0,2.959960937500011,1.9758064516128468,163.39040039641063
2026-06-24,1,0.99,0.994,100.0,0.9937521693856041,0.9937521693856041,164.38415256579623
2026-06-25,4,0.31,0.078,50.0,3.9565217391304652,-2.4097444089456688,164.69785762811847
2026-06-26,5,10.01,2.001,100.0,2.9494994438264794,0.9967426710097538,174.70314435131442
2026-06-27,19,10.22,0.538,68.4,3.480337078651652,-1.183673469387806,184.92394452526116
2026-06-28,40,19.01,0.475,65.0,2.925039872408294,-3.791666666666634,203.9359290114339
2026-06-29,5,-15.02,-3.005,0.0,-0.4827586206896607,-5.090909090909117,188.91286937059246
2026-06-30,2,5.02,2.508,100.0,3.0793825799338426,1.935863489261527,193.92811543978783
2026-07-01,13,5.26,0.405,53.8,9.709677419354744,-5.040000000000017,199.1888145273977
