symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.2801,112.04,vol_trail,2,68.2,20,-0.308,0.8089,0.04,0.1005,10107.96,4.0,4.927603585043651
UNIUSDT,2026-02-13T07:14:59.999000+00:00,2026-02-13T13:34:59.999000+00:00,3.3276654,3.3553287999999997,0.4422,178.79,vol_trail,3,71.3,76,-0.7214,0.6144,0.04,0.014785714285714307,10276.51,4.0,2.147889167464514
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,1.8517,761.16,vol_trail,2,68.6,46,0.0,2.3276,0.04,2.0257142857142867,11024.0,4.0,3.9489241811713396
ZECUSDT,2026-02-14T19:44:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,307.681524,308.63254685714287,0.0696,30.7,vol_trail,2,70.2,5,0.0,0.9265,0.04,2.9164285714285785,11049.47,4.0,2.7392921329878495
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,1.337,590.91,vol_trail,8,82.1,33,-0.0971,1.7529,0.04,0.6621428571428579,11626.39,4.0,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.3521,163.73,vol_trail,3,72.8,7,-0.1764,0.7144,0.04,2.3235714285714346,11783.39,4.0,2.7018968573505773
TAOUSDT,2026-02-16T19:39:59.999000+00:00,2026-02-16T20:59:59.999000+00:00,194.08881000000002,195.0045627142857,0.1873,88.3,vol_trail,8,82.4,16,-0.5631,0.7333,0.04,1.105000000000002,11862.37,4.0,1.785052037664406
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,1.3126,622.8,vol_trail,5,75.8,1,0.0,1.9352,0.04,0.0037142857142857494,12467.28,4.0,3.5814344994456833
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0152,-7.59,vol_trail,9,84.0,14,-0.2066,0.0892,0.04,0.0005071428571428538,12440.36,4.0,4.526975179655015
APTUSDT,2026-02-25T01:49:59.999000+00:00,2026-02-25T04:59:59.999000+00:00,0.8601719999999999,0.8601350814285715,-0.0194,-9.65,vol_trail,2,68.8,38,-0.8395,0.1749,0.04,0.0054714285714285715,12430.71,4.0,4.020690422985249
DOTUSDT,2026-02-25T11:24:59.999000+00:00,2026-02-25T11:29:59.999000+00:00,1.3532705999999999,1.3537291999999999,-0.0044,-2.17,vol_trail,5,76.1,1,-0.2103,0.0,0.04,0.008642857142857206,12419.79,4.0,2.6164197513592193
ARBUSDT,2026-02-25T14:49:59.999000+00:00,2026-02-25T15:09:59.999000+00:00,0.09861972,0.0986017042857143,-0.0273,-13.55,vol_trail,9,84.2,4,-0.0524,0.1664,0.04,0.0005714285714285719,12383.97,4.0,2.671420331052973
APTUSDT,2026-02-25T12:29:59.999000+00:00,2026-02-25T17:59:59.999000+00:00,0.8848769400000001,0.9860241842857143,6.4318,3195.26,vol_trail,1,66.4,66,-0.2604,7.7615,0.04,0.003914285714285727,15579.23,4.0,2.549501072318156
DOTUSDT,2026-02-25T19:49:59.999000+00:00,2026-02-25T20:04:59.999000+00:00,1.6183236,1.6224968642857143,0.0504,31.42,vol_trail,9,83.0,3,0.0,0.2442,0.04,0.017071428571428564,15604.01,4.0,1.5483213343086961
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.223,763.36,vol_trail,8,81.0,11,-0.2726,1.3298,0.04,0.0003557142857142851,16359.63,4.0,3.679884740895855
1000LUNCUSDT,2026-02-27T15:29:59.999000+00:00,2026-02-27T20:49:59.999000+00:00,0.041468292,0.04182449057142857,0.1426,93.32,vol_trail,5,76.2,64,-0.7644,0.4911,0.04,0.0005914285714285707,16447.79,4.0,4.050990868312095
DOTUSDT,2026-02-28T19:39:59.999000+00:00,2026-02-28T22:04:59.999000+00:00,1.6343268,1.642385742857143,0.0974,64.09,vol_trail,5,76.6,29,-0.5234,0.4348,0.04,0.018785714285714312,16505.44,4.0,2.8405079715998194
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:49:59.999000+00:00,1.38157626,1.3333381104622857,-1.0181,-672.15,stop_loss,8,82.1,8,-0.9772,0.0,0.04,0.011992857142857123,15824.74,4.0,4.964942426558394
NEARUSDT,2026-03-02T01:14:59.999000+00:00,2026-03-02T04:49:59.999000+00:00,1.1862371999999999,1.2046875857142858,0.5055,319.96,vol_trail,8,82.4,43,-0.7688,0.8401,0.04,0.008857142857142897,16135.16,4.0,5.173038929600182
ARBUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:34:59.999000+00:00,0.10422084,0.10591095642857143,0.5527,356.59,vol_trail,7,79.2,10,0.0,1.2382,0.04,0.0007428571428571423,16422.54,4.0,6.430336139858807
NEARUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:39:59.999000+00:00,1.2722544,1.2748878285714285,0.0407,26.29,vol_trail,2,68.5,11,0.0,0.865,0.04,0.012642857142857162,16448.82,4.0,1.5228900438075461
ENAUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T15:54:59.999000+00:00,0.10762152,0.10860684571428572,0.2731,175.9,vol_trail,3,72.6,9,0.0,0.7812,0.04,0.0008571428571428569,16624.72,4.0,2.8584709803431343
XRPUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,1.3657731,1.4012482657142857,1.5437,995.27,vol_trail,7,79.7,30,0.0,2.2607,0.04,0.005642857142857172,17619.99,4.0,3.9380381044952295
XLMUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,0.158451684,0.15910531542857143,0.1531,98.51,vol_trail,2,69.4,25,0.0,0.9068,0.04,0.0009507142857142868,17718.5,4.0,4.182625355473267
1000LUNCUSDT,2026-03-02T15:14:59.999000+00:00,2026-03-02T19:09:59.999000+00:00,0.043638726,0.04265876396908573,-1.0285,-661.52,stop_loss,2,68.5,47,-0.9252,0.166,0.04,0.00024285714285714088,17056.98,4.0,2.3431383065353244
NEARUSDT,2026-03-02T21:14:59.999000+00:00,2026-03-02T22:54:59.999000+00:00,1.3542708,1.3854371428571428,0.5568,379.87,vol_trail,5,76.5,20,0.0,0.9065,0.04,0.013714285714285743,17429.27,4.0,1.5961967967484834
SOLUSDT,2026-03-03T16:04:59.999000+00:00,2026-03-03T17:44:59.999000+00:00,85.387074,85.52074957142857,0.0421,29.35,vol_trail,1,60.7,20,-0.4545,0.811,0.04,0.5649999999999997,17440.03,4.0,1.9505697458823807
NEARUSDT,2026-03-03T15:39:59.999000+00:00,2026-03-03T19:49:59.999000+00:00,1.3882776,1.3891149785714287,0.0033,2.29,vol_trail,7,79.5,50,-0.5308,0.2125,0.04,0.016142857142857157,17442.33,4.0,2.4603947602436222
SOLUSDT,2026-03-04T08:44:59.999000+00:00,2026-03-04T10:29:59.999000+00:00,87.91758,89.85059771428571,1.2066,841.81,vol_trail,2,66.9,21,0.0,1.9332,0.04,0.39214285714285985,18266.54,4.0,1.5719309975498346
SOLUSDT,2026-03-04T15:29:59.999000+00:00,2026-03-04T19:29:59.999000+00:00,92.608518,92.59861942857142,-0.0154,-11.27,vol_trail,3,72.5,48,-0.5171,0.1829,0.04,0.8357142857142849,18246.16,4.0,2.7158906944051013
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.0931,67.95,vol_trail,7,80.3,24,-0.2797,0.5042,0.04,0.013714285714285743,18281.62,4.0,5.281060756038988
FETUSDT,2026-03-13T00:14:59.999000+00:00,2026-03-13T02:39:59.999000+00:00,0.17923584,0.1845595092857143,0.7643,557.79,vol_trail,7,80.7,29,0.0,1.2489,0.04,0.0017142857142857099,18839.41,4.0,2.6403565930071693
TAOUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:59:59.999000+00:00,220.164024,229.5633638571429,1.7549,1279.5,vol_trail,8,81.9,32,-0.0857,2.2703,0.04,1.3242857142857116,20118.91,4.0,8.305401863175911
RENDERUSDT,2026-03-13T05:19:59.999000+00:00,2026-03-13T07:24:59.999000+00:00,1.8073614,1.8543076357142856,0.8724,702.06,vol_trail,8,81.7,25,-0.196,1.5824,0.04,0.013214285714285734,20808.58,4.0,2.509179551367445
