label,trades,wins,losses,win_rate,total_r,avg_r,profit_factor,avg_win_r,avg_loss_r,sharpe,ny_trades,ny_wr,ny_total_r,btc_trades,btc_wr,btc_total_r
baseline,385,237,148,61.6,96.0578,0.2495,1.649,1.0298,-1.0,52.899,157,59.9,47.6215,270,60.7,45.8749
relax_ret5d,417,251,166,60.2,88.2268,0.2116,1.531,1.0129,-1.0,45.498,169,59.8,48.7253,295,60.0,43.4064
quality_scoring,417,251,166,60.2,88.2268,0.2116,1.531,1.0129,-1.0,45.498,169,59.8,48.7253,295,60.0,43.4064
vol_targeting,417,251,166,60.2,88.2268,0.2116,1.531,1.0129,-1.0,45.498,169,59.8,48.7253,295,60.0,43.4064
regime_sizing,417,251,166,60.2,88.2268,0.2116,1.531,1.0129,-1.0,45.498,169,59.8,48.7253,295,60.0,43.4064
pyramiding,417,251,166,60.2,88.2268,0.2116,1.531,1.0129,-1.0,45.498,169,59.8,48.7253,295,60.0,43.4064
correlation_control,414,249,165,60.1,87.1844,0.2106,1.528,1.0128,-1.0,45.234,166,59.6,47.6829,292,59.9,42.364
