symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T00:44:59.999000+00:00,2026-02-02T02:59:59.999000+00:00,8.855770799999998,8.85808517142857,-0.0071,-2.83,vol_trail,1,52.7,27,-0.2829,0.5645,0.04,0.06742857142857137,9990.41,3.5,0.17941895044929254
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.3201,127.92,vol_trail,2,68.2,20,-0.352,0.9245,0.04,0.1005,10113.67,3.5,4.927603585043651
NMRUSDT,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:49:59.999000+00:00,9.352870200000002,9.506384057142856,0.7192,290.95,vol_trail,1,61.9,26,0.0,1.35,0.04,0.059285714285714164,10396.42,3.5,-0.5517719681469381
UNIUSDT,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.2786556,3.292912714285715,0.253,105.2,vol_trail,1,59.2,71,-0.5278,0.9771,0.04,0.01442857142857133,10489.47,3.5,-0.31051556412984066
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.2796,117.3,vol_trail,9,82.8,5,-0.1435,0.5147,0.04,0.011285714285714375,10590.79,3.5,5.649507478001635
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.1162,896.5,vol_trail,2,68.6,46,0.0,2.6601,0.04,2.0257142857142867,11471.19,3.5,3.9489241811713396
ZECUSDT,2026-02-14T19:19:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,298.51969199999996,308.63254685714287,1.1445,525.13,vol_trail,1,61.6,10,-0.0619,2.2915,0.04,2.489999999999997,11989.25,3.5,0.49832997265590595
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,1.528,732.77,vol_trail,8,82.1,33,-0.111,2.0033,0.04,0.6621428571428579,12704.66,3.5,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.4024,204.47,vol_trail,3,72.8,7,-0.2016,0.8165,0.04,2.3235714285714346,12900.73,3.5,2.7018968573505773
TAOUSDT,2026-02-16T19:34:59.999000+00:00,2026-02-16T19:49:59.999000+00:00,192.698532,193.09851542857143,0.0848,43.78,vol_trail,3,72.0,3,-0.0457,0.5343,0.04,1.0542857142857156,12932.39,3.5,0.14665918966278596
