trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
eeac94e0-e989-408a-93e4-0e97f3a29b0e,TONUSDT,2026-04-20T18:49:59.999000+00:00,1,56.6,-0.5411,0.2858,0.1803,18,-4.1747,-0.3269,0.0526,2.1022,4,1,1,0,1,0,1,0.044,vol_trail,8
59235f9f-510d-4f63-89d9-428626b52aaf,TONUSDT,2026-05-04T18:59:59.999000+00:00,1,56.9,-0.1778,3.7918,0.5691,18,25.1042,-0.4773,-0.2811,2.5953,4,0,1,0,1,1,1,4.009,vol_trail,41
fa9d274e-0faa-4807-9d0d-66c03c0539ca,TONUSDT,2026-05-05T18:59:59.999000+00:00,1,61.4,-0.479,15.5612,0.8214,18,46.1562,-0.4267,-0.6603,3.2228,4,0,1,0,1,1,1,0.7867,vol_trail,16
847cb14d-44f5-40da-a77f-e3330fd19f99,TONUSDT,2026-05-07T18:19:59.999000+00:00,7,80.3,2.3395,29.2047,1.2965,18,102.0782,-0.0894,1.8264,1.5189,4,1,0,0,1,1,1,-1.0,stop_loss,6
6ae70e41-f106-496b-9de3-703b61a3c8a7,CHZUSDT,2026-03-28T15:24:59.999000+00:00,1,62.0,3.2871,1.059,0.8822,15,12.2802,-0.3269,0.5257,0.2466,5,1,0,1,1,1,1,-1.0,stop_loss,24
29b600b0-ea16-4450-acf8-1e74546118ac,CHZUSDT,2026-04-13T16:59:59.999000+00:00,9,83.0,3.4286,0.1022,0.3961,16,-1.4081,0.5798,0.082,1.1195,5,1,0,1,1,1,1,0.7172,vol_trail,8
3fa46546-c6c8-4ea5-ae88-6d0d58358ea6,CHZUSDT,2026-04-13T21:19:59.999000+00:00,1,60.9,-0.6903,0.1022,0.28,21,-1.4081,0.5798,-0.9169,2.1376,4,0,1,0,1,1,1,1.0944,vol_trail,34
29456970-4955-4e7d-801b-72251df0e120,CHZUSDT,2026-04-20T18:59:59.999000+00:00,1,65.0,3.2766,1.0061,0.8064,18,10.4474,-0.3302,-0.9512,-0.6978,4,0,0,1,1,1,1,0.3009,vol_trail,38
e9ab8136-e4cb-4b06-a96f-bc1a217dc104,CHZUSDT,2026-04-22T18:34:59.999000+00:00,2,69.3,1.0551,0.2489,0.401,18,13.8231,0.0266,-0.5708,2.0055,4,0,1,0,1,1,1,-1.0,stop_loss,13
049b3190-2d3d-4378-8f39-44916415f7d5,CHZUSDT,2026-05-15T21:09:59.999000+00:00,1,63.2,-0.1251,1.3443,0.5103,21,-0.022,0.4342,0.022,2.1621,5,1,1,0,1,1,1,0.912,vol_trail,61
fe67a03f-db3c-4367-832a-29aa3b2f013f,CHZUSDT,2026-05-17T19:24:59.999000+00:00,1,65.6,-0.3244,2.2807,0.4883,19,4.5936,0.7232,-1.53,2.1447,4,0,1,0,1,1,1,-1.0,stop_loss,47
7971c4de-dd07-4dba-9b90-dc7242266a17,QNTUSDT,2026-02-07T18:29:59.999000+00:00,1,61.2,-0.0953,0.2347,0.4316,18,-4.0059,0.4366,-0.5113,2.5175,4,0,1,0,1,1,1,0.3557,vol_trail,46
6e003c9c-9f86-426d-af3e-62f1b16c3079,NMRUSDT,2026-02-02T21:59:59.999000+00:00,1,53.3,-0.0012,0.3733,0.711,21,3.4409,-0.6069,-1.7616,2.1796,4,0,1,0,1,1,1,-1.0,stop_loss,21
