symbol,n,avg,tot
TONUSDT,3,1.2652333333333334,3.7957
ICPUSDT,5,1.25756,6.2878
WLDUSDT,5,0.4476,2.238
ZECUSDT,7,0.25534285714285715,1.7874
SOLUSDT,5,0.23852,1.1926
FILUSDT,3,-0.31516666666666665,-0.9455
CHZUSDT,3,-0.3626666666666667,-1.088
NEARUSDT,4,-0.44975,-1.799
