n,full_avg,full_R,test_n,test_avg,test_R,pass,variant,scale_rate
759,-0.11556069828722003,-87.71057,304,-0.12293121710526314,-37.371089999999995,False,v645_full,
759,-0.02831844861660079,-21.4937025,304,-0.03573933388157895,-10.8647575,False,v9_scale_in_25_75,0.14361001317523056
72,0.04451850694444443,3.205332499999999,29,0.08304750000000001,2.4083775000000003,False,scale_in_tier_6syms,0.18055555555555555
