symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.3735,149.39,vol_trail,2,68.2,20,-0.4107,1.0785,0.04,0.1005,10143.94,3.0,4.927603585043651
NMRUSDT,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.7909578,9.583540708440001,-1.0303,-418.06,stop_loss,1,60.6,15,-0.9828,0.0,0.04,0.06849999999999959,9717.18,3.0,1.0248120111562755
UNIUSDT,2026-02-13T07:14:59.999000+00:00,2026-02-13T07:54:59.999000+00:00,3.3276654,3.2826515954914286,-1.0481,-407.39,stop_loss,3,71.3,8,-0.9393,0.0075,0.04,0.014785714285714307,9296.68,3.0,2.147889167464514
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.4689,918.11,vol_trail,2,68.6,46,0.0,3.1035,0.04,2.0257142857142867,10198.3,3.0,3.9489241811713396
ZECUSDT,2026-02-14T19:44:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,307.681524,308.63254685714287,0.0928,37.87,vol_trail,2,70.2,5,0.0,1.2354,0.04,2.9164285714285785,10229.71,3.0,2.7392921329878495
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,1.7826,729.43,vol_trail,8,82.1,33,-0.1295,2.3372,0.04,0.6621428571428579,10941.87,3.0,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.4694,205.45,vol_trail,3,72.8,7,-0.2352,0.9526,0.04,2.3235714285714346,11138.88,3.0,2.7018968573505773
TAOUSDT,2026-02-16T19:39:59.999000+00:00,2026-02-16T20:59:59.999000+00:00,194.08881000000002,195.0045627142857,0.2498,111.29,vol_trail,8,82.4,16,-0.7508,0.9777,0.04,1.105000000000002,11238.43,3.0,1.785052037664406
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,1.7501,786.72,vol_trail,5,75.8,1,0.0,2.5802,0.04,0.0037142857142857494,11976.72,3.0,3.5814344994456833
APTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,0.8336667,0.8417030542857143,1.1755,527.37,vol_trail,2,70.4,1,0.0,2.5687,0.04,0.0021714285714285702,12504.09,3.0,1.3528408307646995
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0203,-10.14,vol_trail,9,84.0,14,-0.2754,0.119,0.04,0.0005071428571428538,12479.88,3.0,4.526975179655015
DOTUSDT,2026-02-25T11:24:59.999000+00:00,2026-02-25T11:29:59.999000+00:00,1.3532705999999999,1.3537291999999999,-0.0058,-2.9,vol_trail,5,76.1,1,-0.2804,0.0,0.04,0.008642857142857206,12465.25,3.0,2.6164197513592193
APTUSDT,2026-02-25T12:29:59.999000+00:00,2026-02-25T17:59:59.999000+00:00,0.8848769400000001,0.9860241842857143,8.5757,4275.94,vol_trail,1,66.4,66,-0.3472,10.3487,0.04,0.003914285714285727,16700.11,3.0,2.549501072318156
ARBUSDT,2026-02-25T12:49:59.999000+00:00,2026-02-25T19:14:59.999000+00:00,0.09611922,0.10202959,4.5612,2271.2,vol_trail,1,60.9,77,0.0,5.5851,0.04,0.00042857142857142893,18971.31,3.0,0.6988881311146129
DOTUSDT,2026-02-25T14:59:59.999000+00:00,2026-02-25T22:39:59.999000+00:00,1.5073013999999998,1.6691661,3.5465,1763.56,vol_trail,1,62.8,92,-0.0286,5.1223,0.04,0.015142857142857125,20734.87,3.0,1.1763501159374807
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.6307,1352.49,vol_trail,8,81.0,11,-0.3634,1.7731,0.04,0.0003557142857142851,22073.65,3.0,3.679884740895855
