symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
NMRUSDT,2026-02-02T00:44:59.999000+00:00,2026-02-02T02:49:59.999000+00:00,8.855770799999998,8.852514857142856,-0.0429,-17.18,vol_trail,1,52.7,25,-0.3025,0.8008,0.04,0.06742857142857137,9973.37
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,178.79,vol_trail,2,68.2,20,-0.4856,1.3015,0.04,0.1005,10145.63
NMRUSDT,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:49:59.999000+00:00,9.352870200000002,9.506384057142856,1.0069,408.62,vol_trail,1,61.9,26,0.0,1.9027,0.04,0.059285714285714164,10542.73
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.149,62.85,vol_trail,7,80.3,24,-0.4375,0.8167,0.04,0.013714285714285743,10596.09
RENDERUSDT,2026-03-13T05:19:59.999000+00:00,2026-03-13T07:24:59.999000+00:00,1.8073614,1.8543076357142856,1.3958,591.61,vol_trail,8,81.7,25,-0.3027,2.5427,0.04,0.013214285714285734,11177.26
RENDERUSDT,2026-03-13T14:14:59.999000+00:00,2026-03-13T14:39:59.999000+00:00,1.9423884,1.8812665285714285,-1.0267,-459.03,stop_loss,1,55.4,5,-1.4249,0.0,0.04,0.024142857142857115,10711.76
RENDERUSDT,2026-03-15T01:24:59.999000+00:00,2026-03-15T03:34:59.999000+00:00,1.9083816,1.9087610285714287,-0.0145,-6.22,vol_trail,1,65.8,26,0.0,0.9989,0.04,0.013214285714285703,10694.4
RENDERUSDT,2026-03-15T21:44:59.999000+00:00,2026-03-15T22:09:59.999000+00:00,1.9073814,1.8809094571428573,-1.0624,-454.46,stop_loss,7,80.4,5,-1.0111,0.0,0.04,0.010285714285714247,10225.66
QNTUSDT,2026-03-20T02:44:59.999000+00:00,2026-03-20T05:19:59.999000+00:00,76.455288,77.39594628571429,1.2165,497.57,vol_trail,2,68.1,31,0.0,2.4307,0.04,0.297857142857144,10704.33
QNTUSDT,2026-03-20T08:34:59.999000+00:00,2026-03-20T13:34:59.999000+00:00,79.75594799999999,80.64850992857143,0.8687,371.95,vol_trail,8,81.0,60,-0.4159,1.6232,0.04,0.39428571428571296,11060.68
QNTUSDT,2026-03-20T21:14:59.999000+00:00,2026-03-20T23:14:59.999000+00:00,79.605918,79.79832285714286,0.1293,57.19,vol_trail,1,61.4,24,0.0,0.669,0.04,0.4842857142857134,11104.78
QNTUSDT,2026-03-24T10:04:59.999000+00:00,2026-03-24T13:09:59.999000+00:00,73.654728,74.35726842857142,0.771,342.45,vol_trail,1,65.0,37,-0.1959,1.8897,0.04,0.3471428571428561,11430.27
QNTUSDT,2026-03-24T20:24:59.999000+00:00,2026-03-24T21:14:59.999000+00:00,74.19483600000001,74.44510799999999,0.3254,148.8,vol_trail,2,67.8,10,0.0,2.1319,0.04,0.26642857142857373,11556.15
NMRUSDT,2026-04-06T00:09:59.999000+00:00,2026-04-06T02:54:59.999000+00:00,7.7375472,7.736880885714286,-0.0511,-23.6,vol_trail,1,60.3,33,-0.5662,0.7631,0.04,0.032499999999999876,11512.74
NMRUSDT,2026-04-06T08:04:59.999000+00:00,2026-04-06T08:19:59.999000+00:00,7.978595400000001,7.859356385714285,-1.0578,-487.11,stop_loss,1,65.2,3,-0.9132,0.0,0.04,0.04642857142857139,11011.39
RUNEUSDT,2026-04-22T00:39:59.999000+00:00,2026-04-22T08:24:59.999000+00:00,0.46969392000000004,0.4984645728571429,3.6834,1622.37,vol_trail,2,68.9,93,-0.8903,5.1097,0.04,0.0031000000000000034,12621.75
RUNEUSDT,2026-04-22T16:34:59.999000+00:00,2026-04-22T17:44:59.999000+00:00,0.49989996000000003,0.49136242214285714,-1.0503,-530.26,stop_loss,2,69.6,14,-0.8994,0.5636,0.04,0.003335714285714283,12077.87
RUNEUSDT,2026-04-24T06:09:59.999000+00:00,2026-04-24T06:29:59.999000+00:00,0.47779554,0.47478359571428574,-1.1432,-552.32,stop_loss,2,68.3,4,-1.2405,0.2481,0.04,0.0011285714285714193,11488.73
RUNEUSDT,2026-04-26T15:24:59.999000+00:00,2026-04-26T19:09:59.999000+00:00,0.49249848,0.5066058014285715,3.7548,1725.52,vol_trail,8,81.3,45,-0.1082,4.8696,0.04,0.0014785714285714205,13186.7
RUNEUSDT,2026-04-29T01:04:59.999000+00:00,2026-04-29T02:04:59.999000+00:00,0.5126025,0.5178535514285715,1.4636,772.0,vol_trail,6,78.7,12,-0.6417,3.0042,0.04,0.0013714285714285632,13923.21
RUNEUSDT,2026-04-29T23:09:59.999000+00:00,2026-04-30T00:34:59.999000+00:00,0.4965993,0.49760045999999997,0.4226,235.35,vol_trail,3,70.8,17,-0.6524,0.7612,0.04,0.0007357142857142721,14090.88
RUNEUSDT,2026-05-01T13:04:59.999000+00:00,2026-05-01T14:34:59.999000+00:00,0.50840166,0.5097480300000001,0.34,191.61,vol_trail,2,69.9,18,-0.1522,1.5522,0.04,0.0013142857142857043,14243.25
RUNEUSDT,2026-05-08T09:09:59.999000+00:00,2026-05-08T13:04:59.999000+00:00,0.56081214,0.5961021842857143,15.2033,8661.75,vol_trail,2,70.4,47,0.0,19.8822,0.04,0.000921428571428581,22842.58
RUNEUSDT,2026-05-10T16:14:59.999000+00:00,2026-05-10T17:19:59.999000+00:00,0.6144228599999999,0.6072499542857143,-1.0747,-981.96,stop_loss,3,71.0,13,-0.8082,0.0866,0.04,0.0027714285714285597,21824.16
QNTUSDT,2026-05-14T05:24:59.999000+00:00,2026-05-14T09:34:59.999000+00:00,75.11502,76.37543614285714,1.3927,1215.75,vol_trail,1,63.2,50,-0.5225,2.9193,0.04,0.35214285714285865,23006.4
QNTUSDT,2026-05-14T14:19:59.999000+00:00,2026-05-14T15:54:59.999000+00:00,78.985794,77.98832778571429,-1.0688,-983.59,stop_loss,3,71.7,19,-0.766,0.1863,0.04,0.3864285714285681,21988.95
QNTUSDT,2026-05-16T00:29:59.999000+00:00,2026-05-16T02:19:59.999000+00:00,80.856168,79.84188557142858,-1.0693,-940.52,stop_loss,9,83.0,22,-0.9265,0.224,0.04,0.39285714285714185,21015.85
NMRUSDT,2026-05-16T16:19:59.999000+00:00,2026-05-16T22:09:59.999000+00:00,9.7089414,10.205172842857143,2.3039,1936.75,vol_trail,1,55.8,70,-0.6889,3.3506,0.04,0.08535714285714288,22935.38
