n,full_avg,full_R,wr,test_n,test_avg,test_wr,experiment
31,0.15650967741935484,4.8518,0.2903225806451613,13,0.37590769230769217,0.38461538461538464,chase0.5_casc3_vol1
41,0.3091121951219512,12.673599999999999,0.2926829268292683,17,0.2617294117647059,0.35294117647058826,vol_z_min_1
16,0.49197500000000005,7.871600000000001,0.5,7,0.23890000000000003,0.42857142857142855,imb_and_vol
65,0.16246615384615382,10.560299999999998,0.3230769230769231,26,0.11237692307692308,0.38461538461538464,session_14_22
72,-0.02243333333333332,-1.615199999999999,0.2638888888888889,29,0.1015,0.3448275862068966,chase_max_0.5
62,-0.03140806451612904,-1.9473000000000005,0.27419354838709675,25,0.077584,0.36,cascade_max_3
76,0.10261052631578944,7.798399999999998,0.2894736842105263,31,0.06994193548387097,0.3548387096774194,baseline
76,0.10261052631578944,7.798399999999998,0.2894736842105263,31,0.06994193548387097,0.3548387096774194,chase_max_1.0
