trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
17ca36eb-7602-4a73-bf66-8a2f2385054c,2,0.15238,0.0,0.15238
17ca36eb-7602-4a73-bf66-8a2f2385054c,3,0.45714,0.0,0.45714
17ca36eb-7602-4a73-bf66-8a2f2385054c,4,0.45714,0.0,0.4381
17ca36eb-7602-4a73-bf66-8a2f2385054c,5,0.45714,0.0,0.3619
17ca36eb-7602-4a73-bf66-8a2f2385054c,6,0.45714,0.0,0.15238
17ca36eb-7602-4a73-bf66-8a2f2385054c,7,0.45714,0.0,0.30476
17ca36eb-7602-4a73-bf66-8a2f2385054c,8,0.45714,0.0,0.3619
17ca36eb-7602-4a73-bf66-8a2f2385054c,9,0.45714,0.0,0.45714
17ca36eb-7602-4a73-bf66-8a2f2385054c,10,0.45714,0.0,0.41905
17ca36eb-7602-4a73-bf66-8a2f2385054c,11,0.45714,0.0,0.3619
17ca36eb-7602-4a73-bf66-8a2f2385054c,12,0.45714,0.0,0.28571
17ca36eb-7602-4a73-bf66-8a2f2385054c,13,0.45714,0.0,0.32381
17ca36eb-7602-4a73-bf66-8a2f2385054c,14,0.45714,0.0,0.05714
17ca36eb-7602-4a73-bf66-8a2f2385054c,15,0.45714,-0.0381,-0.0381
4cd8c8b6-8737-4ac0-8fe9-e74c4441a347,0,0.0,0.0,0.0
4cd8c8b6-8737-4ac0-8fe9-e74c4441a347,1,0.39646,0.0,0.39646
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,0,0.0,0.0,0.0
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,1,0.0,-0.10182,-0.10182
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,2,0.20364,-0.10182,0.20364
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,3,0.20364,-0.10182,0.20364
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,4,0.20364,-0.10182,0.06788
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,5,0.20364,-0.10182,0.0
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,6,0.44121,-0.10182,0.44121
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,7,0.47515,-0.10182,0.47515
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,8,0.47515,-0.10182,0.27152
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,9,0.47515,-0.10182,0.37333
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,10,0.47515,-0.10182,0.37333
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,11,0.54303,-0.10182,0.54303
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,12,0.54303,-0.10182,0.50909
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,13,0.54303,-0.10182,0.54303
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,14,0.67879,-0.10182,0.67879
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,15,0.67879,-0.10182,0.44121
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,16,0.67879,-0.10182,0.37333
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,17,0.67879,-0.10182,0.20364
deb4064d-dbfb-412e-bf53-f3e82b01c4b0,18,0.67879,-0.10182,0.03394
d519efbf-2049-49d8-b225-0c80e493fcfe,0,0.0,0.0,0.0
d519efbf-2049-49d8-b225-0c80e493fcfe,1,0.11598,0.0,0.11598
d519efbf-2049-49d8-b225-0c80e493fcfe,2,0.16568,0.0,0.16568
d519efbf-2049-49d8-b225-0c80e493fcfe,3,0.16568,-0.08284,-0.08284
d519efbf-2049-49d8-b225-0c80e493fcfe,4,0.16568,-0.21538,-0.21538
d519efbf-2049-49d8-b225-0c80e493fcfe,5,0.16568,-0.26509,-0.26509
d519efbf-2049-49d8-b225-0c80e493fcfe,6,0.16568,-0.26509,-0.21538
d519efbf-2049-49d8-b225-0c80e493fcfe,7,0.16568,-0.26509,-0.11598
d519efbf-2049-49d8-b225-0c80e493fcfe,8,0.16568,-0.4142,-0.4142
d519efbf-2049-49d8-b225-0c80e493fcfe,9,0.16568,-1.07692,-1.07692
32e2bc2c-0f13-4ccd-bfd6-7c7ba6fc9195,0,0.0,0.0,0.0
32e2bc2c-0f13-4ccd-bfd6-7c7ba6fc9195,1,0.10435,0.0,0.10435
32e2bc2c-0f13-4ccd-bfd6-7c7ba6fc9195,2,0.10435,-0.62609,-0.62609
32e2bc2c-0f13-4ccd-bfd6-7c7ba6fc9195,3,0.10435,-0.62609,-0.34783
32e2bc2c-0f13-4ccd-bfd6-7c7ba6fc9195,4,0.10435,-0.62609,-0.13913
32e2bc2c-0f13-4ccd-bfd6-7c7ba6fc9195,5,0.41739,-0.62609,0.41739
72e0d0c2-1bae-478f-841b-618d71308f5e,0,0.0,0.0,0.0
72e0d0c2-1bae-478f-841b-618d71308f5e,1,0.0,-0.23296,-0.23296
72e0d0c2-1bae-478f-841b-618d71308f5e,2,0.0,-0.25984,-0.25984
72e0d0c2-1bae-478f-841b-618d71308f5e,3,0.0,-0.25984,-0.0896
72e0d0c2-1bae-478f-841b-618d71308f5e,4,0.0,-0.25984,-0.16128
72e0d0c2-1bae-478f-841b-618d71308f5e,5,0.02688,-0.25984,0.02688
72e0d0c2-1bae-478f-841b-618d71308f5e,6,0.17024,-0.25984,0.17024
72e0d0c2-1bae-478f-841b-618d71308f5e,7,0.17024,-0.25984,0.01792
72e0d0c2-1bae-478f-841b-618d71308f5e,8,0.17024,-0.25984,-0.10752
72e0d0c2-1bae-478f-841b-618d71308f5e,9,0.34944,-0.25984,0.34944
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,0,0.0,0.0,0.0
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,1,0.0,-0.10182,-0.10182
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,2,0.10182,-0.10182,0.10182
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,3,0.49455,-0.10182,0.49455
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,4,0.71273,-0.10182,0.71273
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,5,0.79273,-0.10182,0.79273
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,6,0.84364,-0.10182,0.84364
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,7,0.84364,-0.10182,0.52364
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,8,0.84364,-0.10182,0.55273
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,9,0.84364,-0.10182,0.58182
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,10,1.22909,-0.10182,1.22909
7b5fc5e2-a2cb-4a3e-a6e1-4dbb414b9f84,11,1.65818,-0.10182,1.65818
55d0bed7-14fe-494a-98fa-fdb29fdd2672,0,0.0,0.0,0.0
