symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.3735,149.39,vol_trail,2,68.2,20,-0.4107,1.0785,0.04,0.1005,10143.94,3.0,4.927603585043651
UNIUSDT,2026-02-13T07:14:59.999000+00:00,2026-02-13T07:54:59.999000+00:00,3.3276654,3.2826515954914286,-1.0481,-425.28,stop_loss,3,71.3,8,-0.9393,0.0075,0.04,0.014785714285714307,9704.97,3.0,2.147889167464514
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.4689,958.43,vol_trail,2,68.6,46,0.0,3.1035,0.04,2.0257142857142867,10646.19,3.0,3.9489241811713396
ZECUSDT,2026-02-14T19:44:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,307.681524,308.63254685714287,0.0928,39.53,vol_trail,2,70.2,5,0.0,1.2354,0.04,2.9164285714285785,10678.98,3.0,2.7392921329878495
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,1.7826,761.47,vol_trail,8,82.1,33,-0.1295,2.3372,0.04,0.6621428571428579,11422.42,3.0,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.4694,214.48,vol_trail,3,72.8,7,-0.2352,0.9526,0.04,2.3235714285714346,11628.07,3.0,2.7018968573505773
TAOUSDT,2026-02-16T19:39:59.999000+00:00,2026-02-16T20:59:59.999000+00:00,194.08881000000002,195.0045627142857,0.2498,116.18,vol_trail,8,82.4,16,-0.7508,0.9777,0.04,1.105000000000002,11731.99,3.0,1.785052037664406
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,1.7501,821.27,vol_trail,5,75.8,1,0.0,2.5802,0.04,0.0037142857142857494,12529.68,3.0,3.5814344994456833
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0203,-10.17,vol_trail,9,84.0,14,-0.2754,0.119,0.04,0.0005071428571428538,12493.61,3.0,4.526975179655015
APTUSDT,2026-02-25T01:49:59.999000+00:00,2026-02-25T03:39:59.999000+00:00,0.8601719999999999,0.8435889627428571,-1.0334,-517.35,stop_loss,2,68.8,22,-0.9243,0.2332,0.04,0.0054714285714285715,11976.26,3.0,4.020690422985249
DOTUSDT,2026-02-25T11:24:59.999000+00:00,2026-02-25T11:29:59.999000+00:00,1.3532705999999999,1.3537291999999999,-0.0058,-2.78,vol_trail,5,76.1,1,-0.2804,0.0,0.04,0.008642857142857206,11962.23,3.0,2.6164197513592193
ARBUSDT,2026-02-25T14:49:59.999000+00:00,2026-02-25T15:09:59.999000+00:00,0.09861972,0.0986017042857143,-0.0364,-17.41,vol_trail,9,84.2,4,-0.0698,0.2218,0.04,0.0005714285714285719,11932.43,3.0,2.671420331052973
DOTUSDT,2026-02-25T19:49:59.999000+00:00,2026-02-25T20:04:59.999000+00:00,1.6183236,1.6224968642857143,0.0672,32.09,vol_trail,9,83.0,3,0.0,0.3256,0.04,0.017071428571428564,11957.73,3.0,1.5483213343086961
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.6307,779.98,vol_trail,8,81.0,11,-0.3634,1.7731,0.04,0.0003557142857142851,12729.8,3.0,3.679884740895855
1000LUNCUSDT,2026-02-27T15:29:59.999000+00:00,2026-02-27T17:14:59.999000+00:00,0.041468292,0.03968606748445714,-1.0145,-516.6,stop_loss,5,76.2,21,-1.0192,0.0,0.04,0.0005914285714285707,12207.85,3.0,4.050990868312095
DOTUSDT,2026-02-28T19:39:59.999000+00:00,2026-02-28T22:04:59.999000+00:00,1.6343268,1.642385742857143,0.1299,63.42,vol_trail,5,76.6,29,-0.6978,0.5798,0.04,0.018785714285714312,12264.9,3.0,2.8405079715998194
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:29:59.999000+00:00,1.38157626,1.3453285690337142,-1.0243,-502.52,stop_loss,8,82.1,4,-0.9166,0.0,0.04,0.011992857142857123,11753.9,3.0,4.964942426558394
NEARUSDT,2026-03-02T01:14:59.999000+00:00,2026-03-02T02:14:59.999000+00:00,1.1862371999999999,1.1594338382742855,-1.0284,-483.49,stop_loss,8,82.4,12,-1.0251,0.0,0.04,0.008857142857142897,11260.97,3.0,5.173038929600182
ARBUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:34:59.999000+00:00,0.10422084,0.10591095642857143,0.737,331.97,vol_trail,7,79.2,10,0.0,1.6509,0.04,0.0007428571428571423,11535.34,3.0,6.430336139858807
ENAUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T15:54:59.999000+00:00,0.10762152,0.10860684571428572,0.3642,163.66,vol_trail,3,72.6,9,0.0,1.0416,0.04,0.0008571428571428569,11699.0,3.0,2.8584709803431343
XRPUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,1.3657731,1.4012482657142857,2.0583,926.37,vol_trail,7,79.7,30,0.0,3.0142,0.04,0.005642857142857172,12625.37,3.0,3.9380381044952295
XLMUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,0.158451684,0.15910531542857143,0.2041,91.64,vol_trail,2,69.4,25,0.0,1.209,0.04,0.0009507142857142868,12717.01,3.0,4.182625355473267
1000LUNCUSDT,2026-03-02T15:14:59.999000+00:00,2026-03-02T17:49:59.999000+00:00,0.043638726,0.04290157254051429,-1.0383,-465.79,stop_loss,2,68.5,31,-0.9316,0.2214,0.04,0.00024285714285714088,12251.22,3.0,2.3431383065353244
SOLUSDT,2026-03-03T16:04:59.999000+00:00,2026-03-03T17:44:59.999000+00:00,85.387074,85.52074957142857,0.0562,27.52,vol_trail,1,60.7,20,-0.6059,1.0814,0.04,0.5649999999999997,12267.64,3.0,1.9505697458823807
SOLUSDT,2026-03-04T08:44:59.999000+00:00,2026-03-04T10:29:59.999000+00:00,87.91758,89.85059771428571,1.6088,789.42,vol_trail,2,66.9,21,0.0,2.5776,0.04,0.39214285714285985,13040.56,3.0,1.5719309975498346
SOLUSDT,2026-03-04T15:29:59.999000+00:00,2026-03-04T19:29:59.999000+00:00,92.608518,92.59861942857142,-0.0206,-10.73,vol_trail,3,72.5,48,-0.6894,0.2439,0.04,0.8357142857142849,13021.16,3.0,2.7158906944051013
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.1242,64.64,vol_trail,7,80.3,24,-0.3729,0.6722,0.04,0.013714285714285743,13054.9,3.0,5.281060756038988
FETUSDT,2026-03-13T00:14:59.999000+00:00,2026-03-13T02:39:59.999000+00:00,0.17923584,0.1845595092857143,1.019,530.75,vol_trail,7,80.7,29,0.0,1.6653,0.04,0.0017142857142857099,13585.65,3.0,2.6403565930071693
TAOUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:59:59.999000+00:00,220.164024,229.5633638571429,2.3399,1217.04,vol_trail,8,81.9,32,-0.1143,3.027,0.04,1.3242857142857116,14802.69,3.0,8.305401863175911
RENDERUSDT,2026-03-13T05:19:59.999000+00:00,2026-03-13T07:24:59.999000+00:00,1.8073614,1.8543076357142856,1.1632,688.73,vol_trail,8,81.7,25,-0.2614,2.1098,0.04,0.013214285714285734,15479.27,3.0,2.509179551367445
TAOUSDT,2026-03-13T08:09:59.999000+00:00,2026-03-13T10:04:59.999000+00:00,235.707132,241.82591085714287,1.2599,780.12,vol_trail,5,76.9,23,-0.2656,1.8622,0.04,1.5900000000000034,16245.62,3.0,1.7052204714603363
RENDERUSDT,2026-03-13T14:14:59.999000+00:00,2026-03-13T14:39:59.999000+00:00,1.9423884,1.8695858366057145,-1.0168,-660.73,stop_loss,1,55.4,5,-1.1927,0.0,0.04,0.024142857142857115,15577.05,3.0,1.741575306428274
TAOUSDT,2026-03-14T03:09:59.999000+00:00,2026-03-14T04:14:59.999000+00:00,242.12841600000002,242.106569,-0.029,-18.05,vol_trail,2,69.9,13,0.0,0.6692,0.04,1.5050000000000014,15543.97,3.0,2.99925538642294
TAOUSDT,2026-03-15T00:19:59.999000+00:00,2026-03-15T00:39:59.999000+00:00,253.80075,248.0918359928571,-1.0285,-639.48,stop_loss,3,73.1,4,-1.3872,0.0,0.04,1.8864285714285773,14891.94,3.0,2.466786172081463
FETUSDT,2026-03-15T01:04:59.999000+00:00,2026-03-15T03:19:59.999000+00:00,0.18133626,0.19124745714285712,4.0938,2438.59,vol_trail,3,72.8,27,-0.0984,4.9016,0.04,0.0007999999999999952,17297.39,3.0,3.4293484561000027
