thesis,n,full_avg,full_R,wr,test_n,test_avg,test_R,test_wr,pass
v645,759,-0.11556069828722003,-87.71057,0.24242424242424243,304,-0.12293121710526314,-37.371089999999995,0.22697368421052633,False
bar3_proof,581,-0.1030617900172117,-59.8789,0.270223752151463,233,-0.0863384120171674,-20.116850000000003,0.26609442060085836,False
liq_spring,380,-0.09699897368421054,-36.85961,0.26052631578947366,152,-0.05981592105263158,-9.09202,0.27631578947368424,False
fail_reclaim,0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
