trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
4befcb80-8619-4ff3-ac8d-5cd6f2dd39c6,TAOUSDT,2026-03-21T14:04:59.999000+00:00,9,83.9,3.1485,0.3876,0.4552,14,-4.2862,0.1655,0.633,0.8677,5,1,0,1,1,1,1,0.3868,vol_trail,7
d95bb60a-6bfc-4eb6-a6cb-243d52887970,TAOUSDT,2026-03-21T21:49:59.999000+00:00,1,59.3,-0.8909,0.3876,0.3923,21,-4.2862,0.1655,-0.29,2.0764,4,0,1,0,1,1,1,-1.0,stop_loss,22
42451648-a86b-47c7-8d21-a112ce1b205a,TAOUSDT,2026-03-24T16:09:59.999000+00:00,1,63.3,0.756,1.2546,0.7233,16,18.9727,-0.2887,-0.5717,2.1864,4,0,1,0,1,1,1,2.9418,vol_trail,56
2a052684-c505-4748-8ca3-b77dcc122ca1,TAOUSDT,2026-03-25T15:29:59.999000+00:00,2,68.7,0.411,1.4489,0.9289,15,28.5831,-0.2616,-1.1715,3.0214,4,0,1,0,1,1,1,-1.0,stop_loss,9
1992bff4-6f1c-4377-b3f5-75100c5586c6,TAOUSDT,2026-05-01T14:59:59.999000+00:00,2,68.3,3.205,1.1358,0.5333,14,7.802,-0.9049,0.2407,1.5442,4,1,0,1,0,1,1,1.048,vol_trail,18
f39006b1-a8da-4f9f-a214-a5bda9b4e033,TAOUSDT,2026-05-02T20:29:59.999000+00:00,1,58.3,4.2862,0.9882,0.5213,20,15.6815,-0.9734,-0.8493,-0.2334,4,0,0,1,1,1,1,-1.0,stop_loss,11
9a5c75f0-0f99-4c6b-ba41-1432e7d3595f,CHZUSDT,2026-03-28T15:24:59.999000+00:00,1,62.0,3.2871,1.059,0.8822,15,12.2802,-0.3269,0.5257,0.2466,5,1,0,1,1,1,1,-1.0,stop_loss,24
15792e65-f784-4c6b-b413-736417771edd,CHZUSDT,2026-04-13T16:59:59.999000+00:00,9,83.0,3.4286,0.1022,0.3961,16,-1.4081,0.5798,0.082,1.1195,5,1,0,1,1,1,1,0.7172,vol_trail,8
1a759ebf-1790-4fb0-8f34-d60a68f2ad41,CHZUSDT,2026-04-13T21:19:59.999000+00:00,1,60.9,-0.6903,0.1022,0.28,21,-1.4081,0.5798,-0.9169,2.1376,4,0,1,0,1,1,1,1.0944,vol_trail,34
e052057e-4eba-4bbc-b576-a39d8c70b5b0,CHZUSDT,2026-04-20T18:59:59.999000+00:00,1,65.0,3.2766,1.0061,0.8064,18,10.4474,-0.3302,-0.9512,-0.6978,4,0,0,1,1,1,1,0.3009,vol_trail,38
3155e239-553b-4199-acb5-e9cd59043fc5,CHZUSDT,2026-04-22T18:34:59.999000+00:00,2,69.3,1.0551,0.2489,0.401,18,13.8231,0.0266,-0.5708,2.0055,4,0,1,0,1,1,1,-1.0,stop_loss,13
7caa1d03-fbea-495c-a525-360da6634db5,CHZUSDT,2026-05-15T21:09:59.999000+00:00,1,63.2,-0.1251,1.3443,0.5103,21,-0.022,0.4342,0.022,2.1621,5,1,1,0,1,1,1,0.912,vol_trail,61
69b4d706-7b34-42ca-a075-16cfe9d6d813,CHZUSDT,2026-05-17T19:24:59.999000+00:00,1,65.6,-0.3244,2.2807,0.4883,19,4.5936,0.7232,-1.53,2.1447,4,0,1,0,1,1,1,-1.0,stop_loss,47
657a1228-925b-422e-bbd2-16705ea8ffc9,DASHUSDT,2026-04-10T21:54:59.999000+00:00,1,62.3,-0.2568,1.4211,0.8925,21,50.1644,-0.3149,-0.1983,2.7074,4,0,1,0,1,1,1,1.0049,vol_trail,32
865c4942-495a-428f-997d-55fced63065e,DASHUSDT,2026-04-11T18:29:59.999000+00:00,5,75.5,1.2332,0.5178,0.5524,18,53.964,-0.2587,0.706,0.4944,4,1,0,0,1,1,1,-1.0,stop_loss,3
