variant,n,full_avg,full_R,wr,test_n,test_avg,test_R,test_wr,pass,verdict
intraday_ny,149,0.05084697986577183,7.576200000000003,0.5704697986577181,60,-0.12475666666666665,-7.485399999999999,0.5,False,KILL
intraday_all,268,-0.051367910447761206,-13.766600000000004,0.5373134328358209,108,-0.04465092592592593,-4.8223,0.5370370370370371,False,KILL
