symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,179.26,vol_trail,2,68.2,20,-0.4928,1.2942,0.04,0.1005,10172.73,2.5,4.927603585043651
NMRUSDT,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.7909578,9.617783858440001,-1.0365,-421.76,stop_loss,1,60.6,15,-1.1793,0.0,0.04,0.06849999999999959,9740.5,2.5,1.0248120111562755
UNIUSDT,2026-02-13T07:14:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.3276654,3.290042974062857,-1.0579,-412.16,stop_loss,3,71.3,6,-1.1272,0.0091,0.04,0.014785714285714307,9312.55,2.5,2.147889167464514
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1103.61,vol_trail,2,68.6,46,0.0,3.7242,0.04,2.0257142857142867,10396.35,2.5,3.9489241811713396
ZECUSDT,2026-02-14T19:44:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,307.681524,308.63254685714287,0.1114,46.32,vol_trail,2,70.2,5,0.0,1.4824,0.04,2.9164285714285785,10434.77,2.5,2.7392921329878495
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,2.1392,892.86,vol_trail,8,82.1,33,-0.1554,2.8047,0.04,0.6621428571428579,11306.49,2.5,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.5633,254.76,vol_trail,3,72.8,7,-0.2823,1.1431,0.04,2.3235714285714346,11550.78,2.5,2.7018968573505773
TAOUSDT,2026-02-16T19:39:59.999000+00:00,2026-02-16T20:04:59.999000+00:00,194.08881000000002,191.288044738,-1.045,-482.83,stop_loss,8,82.4,5,-0.8864,0.2104,0.04,1.105000000000002,11053.34,2.5,1.785052037664406
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,2.1001,928.52,vol_trail,5,75.8,1,0.0,3.0963,0.04,0.0037142857142857494,11924.72,2.5,3.5814344994456833
APTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,0.8336667,0.8417030542857143,1.4106,622.17,vol_trail,2,70.4,1,0.0,3.0824,0.04,0.0021714285714285702,12546.89,2.5,1.3528408307646995
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0243,-12.22,vol_trail,9,84.0,14,-0.3305,0.1427,0.04,0.0005071428571428538,12517.73,2.5,4.526975179655015
DOTUSDT,2026-02-25T11:24:59.999000+00:00,2026-02-25T11:29:59.999000+00:00,1.3532705999999999,1.3537291999999999,-0.007,-3.49,vol_trail,5,76.1,1,-0.3365,0.0,0.04,0.008642857142857206,12500.13,2.5,2.6164197513592193
ARBUSDT,2026-02-25T14:49:59.999000+00:00,2026-02-25T15:09:59.999000+00:00,0.09861972,0.0986017042857143,-0.0437,-21.8,vol_trail,9,84.2,4,-0.0838,0.2662,0.04,0.0005714285714285719,12433.55,2.5,2.671420331052973
APTUSDT,2026-02-25T12:29:59.999000+00:00,2026-02-25T17:59:59.999000+00:00,0.8848769400000001,0.9860241842857143,10.2909,5145.49,vol_trail,1,66.4,66,-0.4166,12.4184,0.04,0.003914285714285727,17579.04,2.5,2.549501072318156
ARBUSDT,2026-02-25T19:59:59.999000+00:00,2026-02-25T21:39:59.999000+00:00,0.10442088000000001,0.10546461714285714,0.8086,568.56,vol_trail,5,76.0,20,-0.7474,1.2816,0.04,0.0004928571428571431,18120.78,2.5,1.125882563280469
DOTUSDT,2026-02-25T14:59:59.999000+00:00,2026-02-25T22:39:59.999000+00:00,1.5073013999999998,1.6691661,4.2558,2121.83,vol_trail,1,62.8,92,-0.0344,6.1468,0.04,0.015142857142857125,20242.61,2.5,1.1763501159374807
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.9568,1584.45,vol_trail,8,81.0,11,-0.4361,2.1277,0.04,0.0003557142857142851,21811.01,2.5,3.679884740895855
1000LUNCUSDT,2026-02-27T15:29:59.999000+00:00,2026-02-27T15:39:59.999000+00:00,0.041468292,0.03998172262731429,-1.0176,-887.78,stop_loss,5,76.2,2,-0.8984,0.0,0.04,0.0005914285714285707,20912.22,2.5,4.050990868312095
DOTUSDT,2026-02-28T19:39:59.999000+00:00,2026-02-28T22:04:59.999000+00:00,1.6343268,1.642385742857143,0.1559,130.38,vol_trail,5,76.6,29,-0.8374,0.6957,0.04,0.018785714285714312,21029.5,2.5,2.8405079715998194
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:24:59.999000+00:00,1.38157626,1.3513237983194286,-1.0293,-865.82,stop_loss,8,82.1,3,-0.9931,0.0,0.04,0.011992857142857123,20146.23,2.5,4.964942426558394
NEARUSDT,2026-03-02T01:14:59.999000+00:00,2026-03-02T01:24:59.999000+00:00,1.1862371999999999,1.1638615239885712,-1.0342,-833.38,stop_loss,8,82.4,2,-1.1849,0.0,0.04,0.008857142857142897,19293.42,2.5,5.173038929600182
ENAUSDT,2026-03-02T04:29:59.999000+00:00,2026-03-02T04:59:59.999000+00:00,0.10682136,0.10560380644228572,-1.0574,-816.02,stop_loss,2,69.9,6,-0.7701,0.1493,0.04,0.00047857142857142743,18446.4,2.5,1.054277638069305
ARBUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:34:59.999000+00:00,0.10422084,0.10591095642857143,0.8844,652.56,vol_trail,7,79.2,10,0.0,1.9811,0.04,0.0007428571428571423,19002.36,2.5,6.430336139858807
XRPUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,1.3657731,1.4012482657142857,2.47,1820.66,vol_trail,7,79.7,30,0.0,3.6171,0.04,0.005642857142857172,20823.02,2.5,3.9380381044952295
XLMUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,0.158451684,0.15910531542857143,0.2449,180.19,vol_trail,2,69.4,25,0.0,1.4508,0.04,0.0009507142857142868,21003.22,2.5,4.182625355473267
1000LUNCUSDT,2026-03-02T15:14:59.999000+00:00,2026-03-02T17:44:59.999000+00:00,0.043638726,0.043022976826228576,-1.0461,-768.8,stop_loss,2,68.5,30,-1.1179,0.2656,0.04,0.00024285714285714088,20234.42,2.5,2.3431383065353244
SOLUSDT,2026-03-03T16:04:59.999000+00:00,2026-03-03T17:44:59.999000+00:00,85.387074,85.52074957142857,0.0674,54.55,vol_trail,1,60.7,20,-0.7271,1.2976,0.04,0.5649999999999997,20266.95,2.5,1.9505697458823807
SOLUSDT,2026-03-04T08:44:59.999000+00:00,2026-03-04T10:29:59.999000+00:00,87.91758,89.85059771428571,1.9305,1565.02,vol_trail,2,66.9,21,0.0,3.0932,0.04,0.39214285714285985,21799.25,2.5,1.5719309975498346
SOLUSDT,2026-03-04T15:29:59.999000+00:00,2026-03-04T19:29:59.999000+00:00,92.608518,92.59861942857142,-0.0247,-21.52,vol_trail,3,72.5,48,-0.8273,0.2927,0.04,0.8357142857142849,21760.34,2.5,2.7158906944051013
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.149,129.62,vol_trail,7,80.3,24,-0.4475,0.8067,0.04,0.013714285714285743,21827.99,2.5,5.281060756038988
FETUSDT,2026-03-13T00:14:59.999000+00:00,2026-03-13T02:39:59.999000+00:00,0.17923584,0.1845595092857143,1.2228,1064.35,vol_trail,7,80.7,29,0.0,1.9983,0.04,0.0017142857142857099,22892.34,2.5,2.6403565930071693
TAOUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:59:59.999000+00:00,220.164024,229.5633638571429,2.8079,2439.96,vol_trail,8,81.9,32,-0.1371,3.6324,0.04,1.3242857142857116,25332.3,2.5,8.305401863175911
RENDERUSDT,2026-03-13T05:19:59.999000+00:00,2026-03-13T07:24:59.999000+00:00,1.8073614,1.8543076357142856,1.3958,1414.37,vol_trail,8,81.7,25,-0.3136,2.5318,0.04,0.013214285714285734,26721.73,2.5,2.509179551367445
TAOUSDT,2026-03-13T08:09:59.999000+00:00,2026-03-13T10:04:59.999000+00:00,235.707132,241.82591085714287,1.5119,1616.06,vol_trail,5,76.9,23,-0.3188,2.2347,0.04,1.5900000000000034,28309.27,2.5,1.7052204714603363
RENDERUSDT,2026-03-13T14:14:59.999000+00:00,2026-03-13T14:39:59.999000+00:00,1.9423884,1.8816548508914286,-1.0203,-1155.32,stop_loss,1,55.4,5,-1.4313,0.0,0.04,0.024142857142857115,27137.55,2.5,1.741575306428274
TAOUSDT,2026-03-14T03:09:59.999000+00:00,2026-03-14T04:14:59.999000+00:00,242.12841600000002,242.106569,-0.0348,-37.74,vol_trail,2,69.9,13,0.0,0.8031,0.04,1.5050000000000014,27068.38,2.5,2.99925538642294
TAOUSDT,2026-03-15T00:19:59.999000+00:00,2026-03-15T00:29:59.999000+00:00,253.80075,249.03486163571426,-1.0343,-1119.9,stop_loss,3,73.1,2,-0.9755,0.0,0.04,1.8864285714285773,25922.26,2.5,2.466786172081463
FETUSDT,2026-03-15T01:04:59.999000+00:00,2026-03-15T03:19:59.999000+00:00,0.18133626,0.19124745714285712,4.9126,5093.79,vol_trail,3,72.8,27,-0.1181,5.8819,0.04,0.0007999999999999952,30946.84,2.5,3.4293484561000027
RENDERUSDT,2026-03-15T01:24:59.999000+00:00,2026-03-15T03:34:59.999000+00:00,1.9083816,1.9087610285714287,-0.0145,-15.03,vol_trail,1,65.8,26,-0.0116,0.9874,0.04,0.013214285714285703,30931.81,2.5,2.4214671974357898
FETUSDT,2026-03-15T09:59:59.999000+00:00,2026-03-15T12:29:59.999000+00:00,0.19173834,0.19681777142857143,1.6249,2010.48,vol_trail,3,72.1,30,-0.6636,2.3643,0.04,0.001228571428571432,32907.54,2.5,2.3487499437285897
RENDERUSDT,2026-03-15T21:44:59.999000+00:00,2026-03-15T22:09:59.999000+00:00,1.9073814,1.8812907808628574,-1.0476,-1378.9,stop_loss,7,80.4,5,-1.0259,0.0,0.04,0.010285714285714247,31484.7,2.5,2.179216427480699
NEARUSDT,2026-03-16T03:24:59.999000+00:00,2026-03-16T06:04:59.999000+00:00,1.3872774,1.405433142857143,0.846,1065.38,vol_trail,5,75.8,32,-0.3513,1.3383,0.04,0.008285714285714276,32478.09,2.5,4.229863574301113
FETUSDT,2026-03-16T05:49:59.999000+00:00,2026-03-16T07:54:59.999000+00:00,0.20294058,0.20623731571428572,0.9493,1194.11,vol_trail,2,68.4,25,-0.3379,2.5065,0.04,0.001350000000000004,33672.2,2.5,1.5423737119089982
FETUSDT,2026-03-16T12:04:59.999000+00:00,2026-03-16T12:19:59.999000+00:00,0.2215443,0.22248406571428572,0.134,180.43,vol_trail,6,77.6,3,-0.0868,1.03,0.04,0.0025071428571428528,33831.21,2.5,4.532522255053391
NEARUSDT,2026-03-16T13:24:59.999000+00:00,2026-03-16T13:34:59.999000+00:00,1.4102819999999998,1.4141456857142856,0.2317,313.55,vol_trail,3,70.5,2,0.0,1.0567,0.04,0.005571428571428608,34083.11,2.5,1.9546857958076895
FETUSDT,2026-03-16T16:14:59.999000+00:00,2026-03-16T18:14:59.999000+00:00,0.23644728,0.24459392857142856,0.9784,1332.14,vol_trail,2,68.5,24,0.0,2.3682,0.04,0.0032857142857142846,35354.5,2.5,5.1673390829720605
ZECUSDT,2026-03-16T16:04:59.999000+00:00,2026-03-16T19:54:59.999000+00:00,236.53729800000002,266.521685,8.8722,12095.68,vol_trail,2,67.2,46,-0.0705,10.8473,0.04,1.346428571428569,47450.18,2.5,2.2325794607467393
NEARUSDT,2026-03-16T21:04:59.999000+00:00,2026-03-17T00:49:59.999000+00:00,1.4762952,1.4865597714285714,0.5656,1073.58,vol_trail,7,80.7,45,-0.1942,1.81,0.04,0.006785714285714299,48449.44,2.5,2.0651877398888128
ZECUSDT,2026-03-17T17:54:59.999000+00:00,2026-03-17T18:04:59.999000+00:00,277.065402,279.65977114285715,0.6324,1225.53,vol_trail,3,71.8,2,0.0,1.7304,0.04,1.5614285714285725,49613.07,2.5,3.390736625318849
FETUSDT,2026-03-20T01:44:59.999000+00:00,2026-03-20T03:04:59.999000+00:00,0.22134426,0.217175816148,-1.0342,-2052.44,stop_loss,6,77.9,16,-0.9319,0.0,0.04,0.0016499999999999948,47512.71,2.5,6.093544099064757
TAOUSDT,2026-03-20T04:29:59.999000+00:00,2026-03-20T04:44:59.999000+00:00,297.60951,289.4926713122857,-1.0234,-1941.33,stop_loss,3,70.6,3,-1.1266,0.0,0.04,3.2235714285714323,45452.88,2.5,2.3146171328232015
QNTUSDT,2026-03-20T03:49:59.999000+00:00,2026-03-20T05:19:59.999000+00:00,77.36546999999999,77.39594628571429,-0.0057,-10.87,vol_trail,1,66.3,18,0.0,1.1628,0.04,0.3042857142857116,45442.01,2.5,1.2239499893171157
QNTUSDT,2026-03-20T08:34:59.999000+00:00,2026-03-20T13:34:59.999000+00:00,79.75594799999999,80.64850992857143,0.8687,1578.98,vol_trail,8,81.0,60,-0.4321,1.607,0.04,0.39428571428571296,46954.81,2.5,4.783553404148477
TAOUSDT,2026-03-24T02:04:59.999000+00:00,2026-03-24T03:49:59.999000+00:00,301.90036799999996,308.3511745714286,0.8152,1531.12,vol_trail,5,76.0,21,-0.1976,1.3987,0.04,3.09714285714285,48452.97,2.5,4.315524562257858
QNTUSDT,2026-03-24T10:29:59.999000+00:00,2026-03-24T13:09:59.999000+00:00,74.204838,74.35726842857142,0.1245,241.35,vol_trail,1,62.9,32,-0.5284,1.1254,0.04,0.38214285714285673,48626.58,2.5,1.3865723178682363
TAOUSDT,2026-03-24T16:14:59.999000+00:00,2026-03-24T20:49:59.999000+00:00,315.933174,329.65691257142856,2.358,4586.48,vol_trail,1,66.8,55,-0.5738,3.9858,0.04,2.3028571428571394,53165.03,2.5,2.1816505627711833
QNTUSDT,2026-03-24T21:39:59.999000+00:00,2026-03-24T22:29:59.999000+00:00,76.825362,77.22598028571429,0.2699,574.06,vol_trail,3,72.9,10,-0.0482,0.9331,0.04,0.5421428571428584,53684.84,2.5,5.003800300913246
TAOUSDT,2026-03-25T07:14:59.999000+00:00,2026-03-25T08:59:59.999000+00:00,343.878762,345.9600798571429,0.3521,756.01,vol_trail,8,82.3,21,-0.4623,0.9948,0.04,2.1878571428571507,54380.1,2.5,5.462341113582387
CHZUSDT,2026-03-28T03:19:59.999000+00:00,2026-03-28T04:09:59.999000+00:00,0.036027204,0.03602422228571428,-0.0594,-129.16,vol_trail,3,71.9,10,0.0,0.8131,0.04,0.00012928571428571421,54141.82,2.5,2.074930813750011
CHZUSDT,2026-03-28T08:04:59.999000+00:00,2026-03-28T08:59:59.999000+00:00,0.036867371999999995,0.037001169714285714,0.3624,784.94,vol_trail,2,68.4,11,0.0,1.8954,0.04,0.00012928571428571522,54815.6,2.5,1.9017519843208053
CHZUSDT,2026-03-28T13:19:59.999000+00:00,2026-03-28T13:44:59.999000+00:00,0.038397678,0.038594422428571425,0.3179,697.0,vol_trail,2,67.2,5,-0.1022,1.5636,0.04,0.00022571428571428544,55445.46,2.5,2.6878744699240116
CHZUSDT,2026-03-30T00:09:59.999000+00:00,2026-03-30T00:39:59.999000+00:00,0.04045809,0.04067400642857143,0.3284,728.28,vol_trail,1,60.8,6,-0.1298,1.4821,0.04,0.00024071428571428556,56106.64,2.5,1.832093119807287
CHZUSDT,2026-03-30T04:19:59.999000+00:00,2026-03-30T08:04:59.999000+00:00,0.042328464,0.04367983371428571,1.9523,4381.37,vol_trail,6,78.7,45,-0.5108,2.597,0.04,0.00027285714285714413,60425.34,2.5,1.4504447273729424
