trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
6a434eb0-1f87-4b3e-b4a8-0c616b388c79,TONUSDT,2026-04-21T14:34:59.999000+00:00,1,64.9,0.0415,0.2858,0.3092,14,-4.1747,-0.3269,-1.0472,2.2958,4,0,1,0,1,1,1,0.3508,vol_trail,11
cc32d4fa-0153-41e1-99ee-a9716a581184,TONUSDT,2026-05-05T18:59:59.999000+00:00,1,61.4,-0.479,3.7918,0.8214,18,25.1042,-0.4773,-0.6603,3.2228,4,0,1,0,1,1,1,0.7867,vol_trail,16
2a8d0ba5-10a2-4fad-9c3c-e9caa1614649,TONUSDT,2026-05-07T18:19:59.999000+00:00,7,80.3,2.3395,24.2735,1.2965,18,85.7078,-0.2797,1.8264,1.5189,4,1,0,0,1,1,1,-1.0,stop_loss,6
2794073e-0648-4b04-8bbc-a6dd845ab30f,SOLUSDT,2026-03-04T19:19:59.999000+00:00,5,76.8,0.346,1.1437,0.4053,19,1.2346,-0.5156,0.1074,1.9954,4,1,0,0,1,1,1,0.0454,vol_trail,15
8a17ac3e-19db-47d4-986b-59483fda3fb7,SOLUSDT,2026-03-05T21:19:59.999000+00:00,1,66.8,-0.1989,0.5817,0.2923,21,11.0269,-0.4472,0.1675,2.0465,5,1,1,0,1,1,1,-1.0,stop_loss,4
7c4c092d-f77d-454c-9792-ce046e084b85,SOLUSDT,2026-04-01T16:29:59.999000+00:00,5,77.0,3.4227,1.2705,0.4194,16,-3.8395,0.63,0.2616,0.2043,5,1,0,1,1,1,1,0.2618,vol_trail,2
b0dfed08-3d9d-4471-abca-5c36fd896d88,SOLUSDT,2026-04-20T14:24:59.999000+00:00,5,76.2,4.7054,0.996,0.3706,14,-0.2988,0.8715,0.0702,0.3017,4,1,0,1,0,1,1,-1.0,stop_loss,6
de2000e5-d30c-4ca4-859b-f4503a0223a1,SOLUSDT,2026-04-30T15:29:59.999000+00:00,2,67.1,3.9757,1.8249,0.2644,15,-3.6224,0.8306,-0.0479,0.7689,4,0,0,1,1,1,1,-1.0,stop_loss,18
2f61ade1-5972-4180-89ad-3f02077a7c12,SOLUSDT,2026-05-08T17:29:59.999000+00:00,8,81.1,4.0221,0.5916,0.2659,17,4.9507,0.102,0.2332,0.7832,5,1,0,1,1,1,1,1.1685,vol_trail,1
c4cf862b-2916-4772-b0cf-0afe7ebec096,SOLUSDT,2026-05-11T14:04:59.999000+00:00,2,68.2,3.1062,1.9836,0.3527,14,11.8043,-0.5099,0.0314,1.653,5,1,0,1,1,1,1,-1.0,stop_loss,5
