uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,conf,conf_count,mae,mfe,aggression_score,aggression_decile,sector,regime_score,label
8e0abf69-771d-4cb3-9fb3-47caa85cda34,PENDLEUSDT,LONG,2026-04-16T18:49:59.999000+00:00,2026-04-16T20:24:59.999000+00:00,1.262452,1.289342,7823.374933,1,0.022761,205.8286,1.1927,8.9836,19,expansion_decay,0,13068.91,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1034,1.8649,0.8681,10,DEFI,1.0,agg_correlation
4d5d5ff4-cf16-4a6f-94c5-3e413b23d7a4,ARBUSDT,LONG,2026-04-16T18:49:59.999000+00:00,2026-04-16T20:24:59.999000+00:00,0.126925,0.131083,77798.521394,1,0.002288,345.162,1.8286,6.7381,19,vol_trail,1,13228.34,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1422,2.7862,0.825,9,L2,1.0,agg_correlation
422db45d-6d94-4111-a8e4-eb0c9c760bc2,ENAUSDT,LONG,2026-04-16T17:44:59.999000+00:00,2026-04-16T20:34:59.999000+00:00,0.108872,0.113609,72852.310102,1,0.002402,350.1989,1.9816,5.4314,34,vol_trail,1,13399.02,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1881,2.8304,0.8334,9,OTHER,1.0,agg_correlation
a012902c-4203-4417-b269-135c4775ed6d,DOTUSDT,LONG,2026-04-16T19:39:59.999000+00:00,2026-04-16T20:39:59.999000+00:00,1.342268,1.32397,13625.912462,2,0.018033,-257.4497,-1.0,16.3485,12,stop_loss,0,13141.57,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.013,0.5951,0.7376,3,L1,1.0,agg_correlation
47772ccd-88a4-45e3-a654-c8346dd62664,PENDLEUSDT,LONG,2026-04-16T22:39:59.999000+00:00,2026-04-17T01:04:59.999000+00:00,1.273555,1.289642,25747.273432,3,0.015312,399.2635,1.0675,29.6979,29,expansion_decay,0,13526.08,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.3236,1.7205,0.8019,7,DEFI,1.0,agg_correlation
16f5b165-035a-450f-9718-7b2cc21029c2,PENDLEUSDT,LONG,2026-04-17T02:59:59.999000+00:00,2026-04-17T03:44:59.999000+00:00,1.271354,1.255429,17258.88523,2,0.015674,-284.6062,-1.0,19.6243,9,stop_loss,0,13182.66,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1774,0.0093,0.7839,6,DEFI,1.0,agg_correlation
d93959ad-c790-4c7e-b852-5c691d06f2e7,XRPUSDT,LONG,2026-04-17T03:34:59.999000+00:00,2026-04-17T04:39:59.999000+00:00,1.434987,1.427988,60353.792993,7,0.006714,-461.2104,-1.0,77.7561,13,stop_loss,0,12677.76,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2046,0.4786,0.8188,8,OTHER,1.0,agg_correlation
d06c2a33-21e7-457f-a637-b5983116d8dc,BNBUSDT,LONG,2026-04-17T04:19:59.999000+00:00,2026-04-17T05:04:59.999000+00:00,630.566088,628.727762,153.953069,8,1.712555,-326.5735,-1.0,87.2425,9,stop_loss,0,12351.19,"{'breakout': False, 'imb': True, 'vol': True, 'body': True, 'impulse': False, 'momentum': True}",4,-1.259,0.0,0.7525,4,OTHER,1.0,agg_correlation
912f3874-eec0-4926-9204-0c0b7cdee1a4,ARBUSDT,LONG,2026-04-17T03:14:59.999000+00:00,2026-04-17T06:39:59.999000+00:00,0.128126,0.130174,172900.480196,2,0.001563,498.3114,1.3268,15.0329,41,expansion_decay,1,12523.2,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.4001,2.4781,0.7882,6,L2,1.0,agg_correlation
c943009f-aa92-4846-98c7-e8b92aa5e03c,ETHUSDT,LONG,2026-04-17T07:09:59.999000+00:00,2026-04-17T07:44:59.999000+00:00,2340.858078,2331.586864,20.287203,4,8.804803,-209.3726,-1.0,43.7485,7,stop_loss,0,12274.25,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': False, 'momentum': True}",4,-1.0049,0.0,0.8503,10,OTHER,1.0,agg_correlation
