n,full_avg,full_R,wr,test_n,test_avg,test_R,test_wr,pass,thesis
1116,-0.11594391577060933,-129.39341000000002,0.23118279569892472,447,-0.1023061744966443,-45.73086,0.21923937360178972,False,v645
31,-0.16562903225806452,-5.1345,0.1935483870967742,13,-0.11407692307692306,-1.4829999999999999,0.15384615384615385,False,dip_absorption
863,-0.06632844727694091,-57.24145000000001,0.2421784472769409,346,-0.10484589595375722,-36.27668,0.24277456647398843,False,squeeze_flow
